"","measure","pot","trt","geno","combo","rep","tcid","parent","block","SM","Anet5_0907","gs5_0907","fo5_0907","fm5_0907","fv5_0907","E5_0907","WUEi5_0907","Anet6_0913","gs6_0913","fo6_0913","fm6_0913","fv6_0913","E6_0913","WUEi6_0913","Anet7_0920","gs7_0920","fo7_0920","fm7_0920","fv7_0920","E7_0920","WUEi7_0920","Anet8_0925","gs8_0925","fo8_0925","fm8_0925","fv8_0925","E8_0925","WUEi8_0925","Anet9_1004","gs9_1004","fo9_1004","fm9_1004","fv9_1004","E9_1004","WUEi9_1004","Anet10_1011","gs10_1011","fo10_1011","fm10_1011","fv10_1011","E10_1011","WUEi10_1011","uAnet","ugs","ufv","uE","uWUEi","max_Anet","max_gs","max_fv","max_E","max_WUEi"
"12","physiology",39,30,2,10,5,200.5,200,"D",2714.3,21.5,0.118,54.1,224.7,0.759,4.2,5.119047619,8.36,0.0544,53.5,228.4,0.766,2.14,3.906542056,15.2,0.0871,69.8,266.5,0.738,2.39,6.359832636,17.8,0.0847,70.3,259.8,0.729,4.93,3.610547667,7.01,0.0472,72.1,274,0.737,1.48,4.736486486,22.6,0.13,87.7,375,0.766,2.88,7.847222222,15.4116666666667,0.0869,0.749166666666667,3.00333333333333,5.263279781,22.6,0.13,0.766,4.93,7.847222222
"13","physiology",44,30,1,5,5,258.4,258,"E",498.2,4.97,0.0841,24.9,95.7,0.74,2.99,4.25537511213684,14,0.0758,36.9,147.9,0.751,3.03,4.620462046,22.9,0.155,50.2,209.7,0.76,4.26,5.375586854,16.1,0.13,53,206.7,0.744,7.13,2.258064516,3.13,0.0956,45,169.1,0.734,2.8,4.96089014540404,20.6,0.155,73.3,309.2,0.763,3.66,5.628415301,13.6166666666667,0.115916666666667,0.748666666666667,3.97833333333333,4.51646566242348,22.9,0.155,0.763,7.13,5.628415301
"14","physiology",47,20,1,3,7,157.7,157,"E",638.1,13,0.0937,38.3,160.8,0.762,3.31,3.927492447,23,0.123,57.4,212.9,0.73,4.69,4.904051173,31.4,0.174,50.2,207.4,0.758,4.81,6.528066528,17.3,0.17,50.7,198.6,0.745,8.87,1.950394589,14.5,0.143,78,319.2,0.756,4.19,3.460620525,12.2,0.102,87.9,369.9,0.762,2.69,4.535315985,18.5666666666667,0.134283333333333,0.752166666666667,4.76,4.2176568745,31.4,0.174,0.762,8.87,6.528066528
"15","physiology",50,25,2,9,5,244.5,244,"C",1057.5,13.6,0.0749,32.3,125.7,0.743,2.84,4.788732394,13,0.0716,33.4,124.3,0.732,2.88,4.513888889,25.6,0.143,47,201.3,0.767,4.01,6.3840399,15.4199029126214,0.173,64.8,250.4,0.741,9.25,3.32972973,23.4,0.13,84.8,332.3,0.745,3.83,6.109660574,24.5,0.118,100.6,424.8,0.763,3.12,7.852564103,19.2533171521036,0.118416666666667,0.7485,4.32166666666667,5.49643593166667,25.6,0.173,0.767,9.25,7.852564103
"16","physiology",51,20,2,8,4,231.3,231,"L",830.1,19.9,0.125,35.6,148.3,0.76,4.4,4.522727273,20.8,0.11,34.3,134,0.744,4.48,4.642857143,15.7415533980583,0.211,68,302.1,0.775,5.86,5.4778157,22.8,0.157,64.7,248.4,0.74,8.47,2.691853601,24.4,0.128,111.9,430.8,0.74,3.82,6.387434555,15.2,0.0757,105.2,450.4,0.766,2.18,6.972477064,19.806925566343,0.13445,0.754166666666667,4.86833333333333,5.11586088933333,24.4,0.211,0.775,8.47,6.972477064
"17","physiology",61,20,3,13,1,188.1,188,"H",906.8,17,0.138,50.7,204.6,0.752,4.87,3.490759754,22.9,0.158,46.9979591836735,301.7,0.757,5.96,3.842281879,15,0.0761,63.3565656565657,395.8,0.762,2.21,6.787330317,13.8,0.0795,93,374.1,0.751,4.81,2.869022869,15.6,0.0749,96.6,407.3,0.763,2.39,6.527196653,6.25,0.0353,95.8,426.1,0.775,1.05,5.952380952,15.0916666666667,0.0936333333333333,0.76,3.54833333333333,4.911495404,22.9,0.158,0.775,5.96,6.787330317
"18","physiology",63,10,1,1,5,162.5,162,"E",871.8,18.7,0.138,39,147.8,0.736,4.84,3.863636364,9.05,0.0787,46.3,202.1,0.771,3.22,2.810559006,9.02,0.0573,71.1,245,0.71,1.69,5.337278107,3.4,0.0348,69.5,174.2,NA,2.15,1.581395349,2.81,0.0339,40.4,144.7,0.721,1.05,2.676190476,6.42,0.0331,41.2,180.7,0.772,0.841,7.633769322,8.23333333333333,0.0626333333333333,0.742,2.2985,3.98380477066667,18.7,0.138,0.772,4.84,7.633769322
"19","physiology",71,15,2,7,1,247.1,247,"L",1059.5,14.1,0.0809,54.4,199.9,0.728,2.94,4.795918367,4.88,0.036,65,283.8,0.771,1.58,3.088607595,17.9,0.108,70.4,282.7,0.751,3.19,5.611285266,22.3,0.136,67,247.7,0.73,7.38,3.021680217,21.2,0.12,88.5,332.9,0.734,3.65,5.808219178,19.3,0.0947,92,403.1,0.772,2.4,8.041666667,16.6133333333333,0.0959333333333333,0.747666666666667,3.52333333333333,5.06122954833333,22.3,0.136,0.772,7.38,8.041666667
"20","physiology",73,15,1,2,1,172.1,172,"Q",2088.2,16,0.135,42.0079207920792,258.8,0.744,4.87,3.285420945,10.1,0.0523,26.4,102.5,0.743,2.22,4.54954955,12,0.179,65.5,297.8,0.78,5.23,2.294455067,17.4,0.155,70.2,290.3,0.758,8.3,2.096385542,11.6,0.0833019801980198,62.5,253.5,0.754,5.22,2.222222222,15.7,0.0693,65.8,270,0.756,1.77,8.870056497,13.8,0.11231699669967,0.755833333333333,4.60166666666667,3.88634830383333,17.4,0.179,0.78,8.3,8.870056497
"21","physiology",74,20,1,3,6,172.6,172,"Q",585.4,14.4,0.111,25.2,103.3,0.756,4.31,3.341067285,19.1,0.126,49.7,213.2,0.767,4.96,3.850806452,19.2,0.129,66.7,281.1,0.763,3.84,5,26,0.154,64,262.4,0.756,8.37,3.106332139,20.6,0.141,64,287.4,0.777,4.11,5.01216545,14.8,0.111,95.5,412.6,0.769,2.47,5.991902834,19.0166666666667,0.128666666666667,0.764666666666667,4.67666666666667,4.38371236,26,0.154,0.777,8.37,5.991902834
"22","physiology",76,30,3,15,5,196.3,196,"G",1958.3,15.1,0.119,46.4,198.2,0.766,4.78,3.158995816,17.5,0.131,46.9979591836735,203.307843137255,0.764,5.04,3.472222222,15.9,0.106,55.6,201.4,0.724,3.2,4.96875,11.8,0.0764,75.8,265,0.714,4.54,2.599118943,8.87,0.0492,74,273.9,0.73,1.62,5.475308642,23.3,0.154,87.1,395.5,0.78,3.14,7.420382166,15.4116666666667,0.105933333333333,0.746333333333333,3.72,4.51579629816667,23.3,0.154,0.78,5.04,7.420382166
"23","physiology",82,15,3,12,3,186.2,186,"G",2256.9,13.1,0.057,49.3,220.6,0.777,2.41,5.435684647,7.71,0.0382,57.4,218.4,0.737,1.57,4.910828025,17.1,0.103,60.2,270.2,0.777,3.21,5.327102804,17.4,0.114,57.9,232.6,0.751,6.34,2.744479495,25.4,0.119,85.8,358.6,0.761,3.59,7.075208914,11.4,0.0504,79.6,342.9,0.768,1.13,10.08849558,15.3516666666667,0.0802666666666667,0.761833333333333,3.04166666666667,5.93029991083333,25.4,0.119,0.777,6.34,10.08849558
"24","physiology",83,20,1,3,2,253.1,253,"Q",1119.7,12.9,0.111,21.7,80.5,0.731,4.28,3.014018692,22.4,0.136,28.2,111.9,0.748,4.94,4.534412955,15.4,0.14,47.9,204.1,0.765,4.39,3.507972665,23.1,0.157,75.5,325.9,0.768,8.37,2.759856631,15,0.0951,78.5,321.4,0.756,3,5,12,0.0706,71.8,317.8,0.774,1.74,6.896551724,16.8,0.118283333333333,0.757,4.45333333333333,4.28546877783333,23.1,0.157,0.774,8.37,6.896551724
"25","physiology",84,20,2,8,5,202.3,202,"L",1598.1,12,0.0683,39.4,169.4,0.768,2.79,4.301075269,24.8,0.133,41.7,174.6,0.761,4.94,5.020242915,27.4,0.154,51.3,204.5,0.749,4.86,5.637860082,19,0.0991,88.6,345.8,0.744,5.56,3.417266187,23.3,0.116,105,428,0.755,3.62,6.436464088,14.8,0.0659,99.5,413.1,0.759,1.57,9.426751592,20.2166666666667,0.10605,0.756,3.89,5.70661002216667,27.4,0.154,0.768,5.56,9.426751592
"26","physiology",88,20,3,13,7,196.7,196,"G",635.4,23.9,0.135,49.1,209.4,0.765,5.22,4.578544061,26.4,0.135,31.9,138.5,0.769,5.08,5.196850394,15.4,0.0995,86.9,390.6,0.778,3.25,4.738461538,12.6,0.0993,69.2,293.4,0.764,5.56,2.26618705,12.9,0.0576,87.5,342.3,0.744,1.91,6.753926702,8.69,0.0469,103.9,425.5,0.756,1.26,6.896825397,16.6483333333333,0.09555,0.762666666666667,3.71333333333333,5.07179919033333,26.4,0.135,0.778,5.56,6.896825397
"27","physiology",91,15,3,12,1,186.1,186,"G",932.5,15.3,0.0889,43.5,189.1,0.77,3.46,4.421965318,4.38,0.0271,55.6,247.1,0.775,1.19,3.680672269,22.4,0.119,69.6,321.5,0.783,3.95,5.670886076,18.5,0.105,75.5,323.1,0.766,5.75,3.217391304,18.8,0.0978,77.6,332.9,0.767,3.17,5.930599369,8.29,0.0435,97.1,441.5,0.78,1.23,6.739837398,14.6116666666667,0.0802166666666667,0.7735,3.125,4.94355862233333,22.4,0.119,0.783,5.75,6.739837398
"28","physiology",92,25,2,9,1,200.1,200,"C",1425.5,13.6,0.0764,35.3,145.1,0.757,3.01,4.518272425,19.6,0.106,42,169.1,0.751,4.11,4.768856448,15.7415533980583,0.223,48.1,212.7,0.774,7.35,4.789115646,21,0.124,93.8,378.1,0.752,6.5,3.230769231,14.0769902912621,0.136,95,386.7,0.754,4.13,6.537530266,22.8,0.117,116.4,500.7,0.767,3.04,7.5,17.8030906148867,0.1304,0.759166666666667,4.69,5.22409066933333,22.8,0.223,0.774,7.35,7.5
"29","physiology",93,25,3,14,6,196.6,196,"G",1639.6,17.7,0.0716,50,210.2,0.762,2.87,6.167247387,16.6,0.0901,51.5,230.7,0.777,3.25,5.107692308,21.2,0.142,91.8,253.828571428571,0.773,4.77,4.444444444,13.1,0.0818,98.3,387.9,0.747,4.62,2.835497835,12.9,0.0634,90.6,333.7,0.728,2.18,5.917431193,16.2,0.102,106.8,478.8,0.777,2.63,6.159695817,16.2833333333333,0.0918166666666667,0.760666666666667,3.38666666666667,5.10533483066667,21.2,0.142,0.777,4.77,6.167247387
"30","physiology",94,10,2,6,2,226.3,226,"C",1754.2,12.1,0.0592,53.6,221.9,0.759,2.39,5.062761506,5.89,0.0346,31.1,121.6,0.745,1.4,4.207142857,3.94,0.0227,50.9,202.9,0.749,0.825,4.775757576,2.7,0.0281,51.2,178.4,0.713,1.75,1.542857143,10.6,0.0479,52.4,182.4,0.713,1.55,6.838709677,5.41,0.0286,57.3,224.4,0.745,0.819,6.605616606,6.77333333333333,0.03685,0.737333333333333,1.45566666666667,4.83880756083333,12.1,0.0592,0.759,2.39,6.838709677
"31","physiology",97,30,1,5,2,251.2,251,"Q",644.1,12.2,0.085,43.8,184.1,0.762,3.29,3.708206687,18.4,0.11,52.5,216.5,0.758,4.16,4.423076923,18.1,0.117,52.4,206,0.746,4.21,4.299287411,17.4,0.135,65.3,248.9,0.737,7.15,2.433566434,9.44,0.0725,65.1,252.9,0.743,2.43,3.884773663,21.4,0.141,68.9,295.5,0.767,3.46,6.184971098,16.1566666666667,0.110083333333333,0.752166666666667,4.11666666666667,4.155647036,21.4,0.141,0.767,7.15,6.184971098
"32","physiology",98,15,1,2,3,253.2,253,"Q",533.8,13,0.0776,39.3,136.5,0.756264705882353,2.93,4.436860068,5.28,0.0356,41.9,174.5,0.76,1.48,3.567567568,15.3,0.109,45.3,201,0.775,3.93,3.893129771,9.03,0.0699,40.9,147.6,0.723,4.09,2.207823961,13.8,0.0948,55.2,224.9,0.754,3.25,4.246153846,14.9,0.0652,58.9,243.6,0.758,1.68,8.869047619,11.885,0.07535,0.754377450980392,2.89333333333333,4.5367638055,15.3,0.109,0.775,4.09,8.869047619
"33","physiology",99,25,3,14,7,186.6,186,"G",677,22.8,0.126,41.5,163.9,0.747,4.81,4.74012474,29.6,0.174,42.7,183.8,0.768,6.18,4.789644013,23.1,0.149,91,253.828571428571,0.785,5.36,4.309701493,16.3,0.0927,79.7,314,0.746,5.22,3.122605364,11.8,0.0601,89.3,342.4,0.739,2.24,5.267857143,18.7,0.0924,91.2,394.3,0.769,2.38,7.857142857,20.3833333333333,0.1157,0.759,4.365,5.01451260166667,29.6,0.174,0.785,6.18,7.857142857
"34","physiology",102,15,1,2,6,251.5,251,"Q",997.4,9.56,0.0698,50.7,194.4,0.739,2.73,3.501831502,11,0.0607,53,215.9,0.755,2.42,4.545454545,10.8,0.09,56.2,231,0.757,3.3,3.272727273,11.6,0.0942,43.8,171.5,0.745,5.36,2.164179104,15.1,0.0673,57.2,216.3,0.736,2.4,6.291666667,9.44,0.0419,47.4,208.6,0.773,1.07,8.822429907,11.25,0.07065,0.750833333333333,2.88,4.76638149966667,15.1,0.0942,0.773,5.36,8.822429907
"35","physiology",105,10,1,1,3,172.4,172,"Q",685,5.59,0.0895,25,95.8,0.739,3.27,4.25537511213684,9.2,0.046,44.1,163.3,0.73,1.86,4.946236559,5.89,0.0345,68.1,250,0.728,1.28,4.6015625,8.3,0.0449,54.2,220.4,0.754,2.73,3.04029304,8.86,0.0376,41.4,142.1,0.709,1.4,6.328571429,7.69,0.0435,49.9,216.4,0.769,1.09,7.055045872,7.58833333333333,0.0493333333333333,0.738166666666667,1.93833333333333,5.03784741868947,9.2,0.0895,0.769,3.27,7.055045872
"36","physiology",112,20,3,13,2,153.1,153,"R",1897.7,12.5,0.0807,46.6,206.2,0.774,3.58,3.491620112,24.4,0.143,39.2,177.4,0.779,5.28,4.621212121,19,0.11,63.3565656565657,253.828571428571,0.779,3.92,4.846938776,18.5,0.129,97.8,349.1,0.72,3.11,5.948553055,12.2,0.0611,82.4,320.9,0.743,2.26,5.398230088,12.2,0.0537,88.5,371.3,0.762,1.35,9.037037037,16.4666666666667,0.09625,0.7595,3.25,5.55726519816667,24.4,0.143,0.779,5.28,9.037037037
"37","physiology",115,10,1,1,6,255.6,255,"R",569.6,7.3,0.103,41.9,176.7,0.763,4.35,4.25537511213684,3.09,0.0205,33.3,129.4,0.743,0.861,3.588850174,5.79,0.0768,63.3565656565657,253.828571428571,0.714,2.75,2.105454545,3.77,0.0251,41.3,163,0.747,0.677,5.568685377,5.58,0.0349,40.7,155.1,0.737,1.28,4.359375,8.04,0.042,41.2,178.2,0.769,1.05,7.657142857,5.595,0.0503833333333333,0.7455,1.828,4.58914717752281,8.04,0.103,0.769,4.35,7.657142857
"38","physiology",119,25,2,9,6,226.7,226,"D",1560.2,7.84,0.049,52.4,214.9,0.756,2.33,3.364806867,24.4,0.141,64.3,268.4,0.76,5.18,4.71042471,27,0.168,55.4,208.4,0.734,5.84,4.623287671,24.8,0.129,101.3,411.9,0.754,3.46,3.53362553147525,24.5,0.129,106.6,449.1,0.763,4.38,5.593607306,26.2,0.146,119,499.3,0.762,3.46,7.572254335,22.4566666666667,0.127,0.754833333333333,4.10833333333333,4.89966773674587,27,0.168,0.763,5.84,7.572254335
"39","physiology",124,15,1,2,4,257.2,257,"F",1008.7,12.1,0.124,42.5,174.5,0.756,4.99,2.424849699,4.97,0.0383,51.2,214.4,0.761,1.44,3.451388889,13,0.118,40.9,175.2,0.766,4.28,3.037383178,20.1,0.185,39.4,165.9,0.763,4.94,4.068825911,11.2,0.0823,44.5,185.1,0.759,2.82,3.971631206,11.8,0.0781,66.3,277.2,0.761,2.08,5.673076923,12.195,0.104283333333333,0.761,3.425,3.77119263433333,20.1,0.185,0.766,4.99,5.673076923
"40","physiology",125,25,3,14,3,186.5,186,"G",1774.2,27.6,0.199,58.8,220.6,0.733,7.73,3.570504528,31.7,0.169,56.4,237.7,0.763,6.16,5.146103896,23.1,0.132,63.8,265.3,0.76,4.79,4.822546973,22.5,0.131,74.2,269.2,0.725,3.68,3.53362553147525,14.5,0.0932,102.2,353.3,0.711,3.33,4.354354354,13.9,0.0625,78.2,345.8,0.774,1.7,8.176470588,22.2166666666667,0.131116666666667,0.744333333333333,4.565,4.93393431174587,31.7,0.199,0.774,7.73,8.176470588
"41","physiology",126,10,3,11,7,191.6,191,"G",634.4,26.3,0.179,44.5,170.5,0.739,7.24,3.632596685,3.81,0.0157,50.8,218.8,0.768,0.706,5.396600567,9.77,0.0639,65.1,269.7,0.759,2.39,4.087866109,15.5,0.0843,54,192.9,0.72,2.62,5.916030534,6.94,0.0325,60.6,231.1,0.738,1.26,5.507936508,3.04,0.0157,48.9,209.9,0.767,0.444,6.846846847,10.8933333333333,0.0651833333333333,0.7485,2.44333333333333,5.231312875,26.3,0.179,0.768,7.24,6.846846847
"42","physiology",127,20,2,8,1,244.1,244,"C",1272.9,20,0.129,38.6,149.7,0.742,5.33,3.752345216,15.8,0.108,46,204.8,0.775,4.24,3.726415094,17.8,0.111,59.8,250.1,0.761,4.07,4.373464373,3.88,0.0465,88.7,366.2,0.758,1.52,2.552631579,20.2,0.106,108.9,437.2,0.751,3.85,5.246753247,17.5,0.0968,112.2,459.8,0.756,2.6,6.730769231,15.8633333333333,0.09955,0.757166666666667,3.60166666666667,4.39706312333333,20.2,0.129,0.775,5.33,6.730769231
"43","physiology",128,10,1,1,1,305.1,305,"R",951,24.2,0.148,57.3,219.3,0.739,6.45,3.751937984,6.59,0.0521,41,175.2,0.766,2.09,3.153110048,3.63,0.0465,54,199.6,0.73,1.75,2.074285714,18.7,0.143,56.8,226.7,0.749,3.95,4.734177215,6.13,0.0315,52.6,210.3,0.75,1.18,5.194915254,8.38,0.0446,50.3,211.3,0.762,1.35,6.207407407,11.2716666666667,0.0776166666666667,0.749333333333333,2.795,4.18597227033333,24.2,0.148,0.766,6.45,6.207407407
"44","physiology",131,20,3,13,4,186.4,186,"G",1382.7,24.7,0.133,49.8,204,0.756,6,4.116666667,28,0.148,51.1,229.2,0.777,5.35,5.23364486,12.6,0.0922,72.4,329.8,0.78,3.43,3.673469388,22.7,0.125,74,283,0.739,3.93,5.776081425,14.3,0.079,99.7,407.8,0.756,2.93,4.880546075,4.75,0.0289,104.1,465.5,0.776,0.972,4.886831276,17.8416666666667,0.101016666666667,0.764,3.76866666666667,4.76120661516667,28,0.148,0.78,6,5.776081425
"45","physiology",133,25,2,9,3,244.3,244,"C",388.1,21.9,0.174,58.5,229,0.744,8.17,2.680538556,26.6,0.178,42.3,165.6,0.745,6.32,4.208860759,26.1,0.169,52.7,218.8,0.759,6.1,4.278688525,19.4,0.129,67.5029126213592,377.9,0.725,4.05,4.790123457,20.1,0.091,100.6,367.5,0.726,3.33,6.036036036,18.9,0.106,106.7,451.8,0.764,3.22,5.869565217,22.1666666666667,0.141166666666667,0.743833333333333,5.19833333333333,4.64396875833333,26.6,0.178,0.764,8.17,6.036036036
"46","physiology",134,25,1,4,4,255.3,255,"R",1037.8,14.6,0.21,31.8,131.3,0.758,4.34032673267327,4.25537511213684,15.7,0.199,34.2,144.7,0.763,6.94,2.262247839,19.4,0.164,63,265.6,0.763,6.09,3.185550082,15.9,0.168,62.2,255.8,0.757,5.27,3.017077799,16.8,0.0916,68.8,271.5,0.747,3.39,4.955752212,9.45,0.0519,90.2,386.7,0.767,1.75,5.4,15.3083333333333,0.147416666666667,0.759166666666667,4.63005445544554,3.84600050735614,19.4,0.21,0.767,6.94,5.4
"47","physiology",136,15,3,12,4,191.3,191,"F",1771.8,28.8,0.159,50.1,217.3,0.77,7.2,4,9.28,0.0483,51.7,240.1,0.785,1.93,4.808290155,17.6,0.102,64.1,275.3,0.767,3.89,4.524421594,11.3,0.0488,60.6,226.8,0.733,1.74,3.53362553147525,23.5,0.126,75.7,307.6,0.754,4.56,5.153508772,12.6,0.0527,80.6,348.3,0.769,1.81,6.961325967,17.18,0.0894666666666667,0.763,3.52166666666667,4.83019533657921,28.8,0.159,0.785,7.2,6.961325967
"48","physiology",137,10,1,1,2,257.1,257,"F",1434,11.3,0.182,25,91.9,0.727,7.78,4.25537511213684,13,0.109,29.9,125.1,0.761,3.85,3.376623377,2.96,0.0207,52.8,202.8,0.74,0.798,3.709273183,3.56,0.0485,48.3,182.2,0.735,1.62,2.197530864,5.59,0.08,43.3,173.5,0.751,2.8,4.96089014540404,NA,0.0109,26.1,97.4,0.732,0.342,NA,7.282,0.0751833333333333,0.741,2.865,3.69993853630818,13,0.182,0.761,7.78,4.96089014540404
"49","physiology",140,20,2,8,3,200.1,200,"C",2640.2,18.8,0.127,40.7,146.5,0.756264705882353,5.8,3.24137931,27.9,0.133,35.3,151.9,0.768,4.6,6.065217391,24.3,0.135,70.3,297.3,0.764,5.1,4.764705882,20.7,0.113,101.6,260.334951456311,0.766,3.61,5.734072022,20.7,0.0991,90.2,329.7,0.726,3.72,5.564516129,10.5,0.0464,99.9,421.9,0.763,1.58,6.64556962,20.4833333333333,0.108916666666667,0.757210784313725,4.06833333333333,5.335910059,27.9,0.135,0.768,5.8,6.64556962
"50","physiology",141,10,1,1,7,251.6,251,"R",388.5,20.3,0.121,26.7,109.3,0.755,5.83,3.481989708,8.91,0.045,38.9,145.1,0.732,1.72,5.180232558,6.9,0.0332,50.7,197.8,0.744,1.32,5.227272727,5.44,0.0292,41.6,177.8,0.766,0.965,5.637305699,11.8,0.0489,46,187.1,0.754,1.95,6.051282051,1.94,0.0337,54.7,225.5,0.757,1.19,1.630252101,9.215,0.0518333333333333,0.751333333333333,2.1625,4.534722474,20.3,0.121,0.766,5.83,6.051282051
"51","physiology",147,10,3,11,6,153.5,153,"R",581.8,31,0.112794174757282,47.8,197,0.757,4.34032673267327,3.242677824,10.4,0.0501,50.7,205,0.753,1.98,5.252525253,9.61,0.0399,56.6,252.3,0.776,1.68,5.720238095,2.27,0.0154,52.5,193.4,0.728,0.54,4.203703704,7.54,0.0326,52.5,222,0.764,1.3,5.8,7.56,0.121,56.3,253.5,0.778,4.1,1.843902439,11.3966666666667,0.0619656957928803,0.759333333333333,2.32338778877888,4.34384121916667,31,0.121,0.778,4.34032673267327,5.8
"52","physiology",151,10,2,6,1,227.1,227,"B",1882,17.2734951456311,0.206,47.4,169.8,0.756264705882353,4.34032673267327,3.192307692,10.2,0.061,52.1,187.8,0.763584158415842,2.44,4.180327869,4.58,0.0283,51.4,195,0.736,1.18,3.881355932,3.87,0.0181,62.5,204,0.694,0.68,5.691176471,4.38,0.0227,65.9,230.5,0.714,0.937,4.674493063,5.56,0.0514,78.3,337.9,0.768,1.67,3.329341317,7.64391585760518,0.0645833333333333,0.738641477383032,1.87455445544554,4.15816705733333,17.2734951456311,0.206,0.768,4.34032673267327,5.691176471
"53","physiology",152,10,3,11,2,184.2,184,"F",1704.2,11.5,0.116,63.3,254.5,0.751,6.51,4.25537511213684,9.04,0.0449,39.9,150.1,0.734,1.8,5.022222222,3.48,0.0207,41.8,158.6,0.736,0.938,3.710021322,1.1,0.00897,42.5,127,NA,0.326,3.374233129,10.8,0.0523,57.4,233.5,0.754,2.07,5.217391304,10.8,0.049,63,257.5,0.756,1.63,6.625766871,7.78666666666667,0.048645,0.7462,2.21233333333333,4.70083499335614,11.5,0.116,0.756,6.51,6.625766871
"54","physiology",159,15,1,2,7,159.7,159,"K",1822.3,7.26,0.0351,28.7,121.1,0.763,1.49,4.872483221,7.6,0.0408,27.1,113.7,0.762,1.71,4.444444444,20.2,0.158,48.5,193.4,0.749,6.51,3.102918587,18.3,0.16,66.5,267.7,0.751,5.17,3.539651838,15.8,0.0949,49,193.5,0.747,3.52,4.488636364,17.4,0.0799,46,191.5,0.76,2.48,7.016129032,14.4266666666667,0.0947833333333333,0.755333333333333,3.48,4.57737724766667,20.2,0.16,0.763,6.51,7.016129032
"55","physiology",160,10,3,11,3,153.2,153,"R",1807.2,16.9,0.0779,40.8,185.9,0.78,2.98,5.67114094,NA,0.00494,41.2,168.9,0.756,0.209,4.26554489883495,1.87,0.00744,42.9,150.3,0.714,0.346,5.404624277,5.99,0.0288,38.2,129.9,0.706,1.07,5.598130841,10.6,0.0476,46,156.4,0.706,1.93,5.492227979,5.71,0.0389,49.5,217.4,0.773,1.24,4.60483871,8.214,0.0342633333333333,0.739166666666667,1.29583333333333,5.17275127430583,16.9,0.0779,0.78,2.98,5.67114094
"56","physiology",168,20,3,13,5,184.4,184,"F",1647.1,16,0.0746,35.9,168.2,0.786,2.79,5.734767025,9.15,0.0529,25,105.9,0.764,2.31,3.961038961,12,0.0721,55.2,236.9,0.767,3.16,3.797468354,15.7,0.101,73.4,296.6,0.753,3.62,4.337016575,13.8,0.0678,79.1,279.4,0.717,2.72,5.073529412,5.15,0.0407,94.6,386.4,0.755,1.38,3.731884058,11.9666666666667,0.0681833333333333,0.757,2.66333333333333,4.43928406416667,16,0.101,0.786,3.62,5.734767025
"57","physiology",169,25,3,14,4,184.5,184,"F",758.9,28.4,0.179,48,199.1,0.759,6.41,4.430577223,13.8,0.0673,46.9979591836735,203.307843137255,0.78,2.87,4.808362369,21.2,0.125,68.6,284.7,0.759,4.96,4.274193548,19.9,0.125,92.5,371.7,0.751,4.32,4.606481481,13.2,0.083,81.3,324.7,0.75,3.29,4.012158055,16.6,0.0942,97.8,449.1,0.782,2.95,5.627118644,18.85,0.11225,0.7635,4.13333333333333,4.62648188666667,28.4,0.179,0.782,6.41,5.627118644
"58","physiology",170,15,3,12,2,184.1,184,"F",1082.9,13.3,0.0732,39.1,155.5,0.748,2.87,4.634146341,8.66,0.0382,40.1,162.2,0.753,1.75,4.948571429,19.3,0.106,50.6,231.2,0.781,4.41,4.376417234,22.1,0.106,53.2,239.8,0.778,3.62,3.53362553147525,22.6,0.132,47.7,188.1,0.746,4.95,4.565656566,13.4,0.0651,84.6,375.4,0.775,2.02,6.633663366,16.56,0.08675,0.7635,3.27,4.78201341124587,22.6,0.132,0.781,4.95,6.633663366
"59","physiology",173,10,2,6,5,221.4,221,"B",530,13.8,0.0764,29.8,129.1,0.769,3.01,4.584717608,4.7,0.0466,40.4,172.9,0.766,2.18,2.155963303,5.19,0.0508,54.6,189.4,0.712,2.09,2.483253589,2.91,0.026,59.4,247.1,0.76,1.03,2.825242718,4.65,0.0325,57.9,212.3,0.727,1.27,3.661417323,7.49,0.0232,69.5,292.7,0.763,0.773,9.689521345,6.45666666666667,0.0425833333333333,0.7495,1.7255,4.23335264766667,13.8,0.0764,0.769,3.01,9.689521345
"60","physiology",174,25,1,4,3,167.2,167,"K",564.7,26.7,0.148,36.4,134,0.728,5.68,4.700704225,17.4,0.115,44.5,188.2,0.764,4.98,3.493975904,14.3,0.149,85.2,378.6,0.775,5.86,2.440273038,17.7,0.105,83.9,343.5,0.756,3.83,4.621409922,15.8,0.0959,73.5,294.5,0.75,3.52,4.488636364,14.8,0.0976,74.9,322.7,0.768,3.09,4.789644013,17.7833333333333,0.118416666666667,0.756833333333333,4.49333333333333,4.08910724433333,26.7,0.149,0.775,5.86,4.789644013
"61","physiology",180,25,3,14,1,176.1,176,"T",1310.1,17.7,0.161,44.8,199.4,0.775,6.27,2.822966507,21.4,0.117,65.5,313.2,0.791,5.06,4.229249012,24.9,0.151,73.6,326,0.774,5.82,4.278350515,20.4,0.121,93.6,406.6,0.77,4.43,4.60496614,11.6,0.0746,82.2,314.3,0.738,2.8,4.142857143,17.3,0.089,107.9,520.4,0.793,2.85,6.070175439,18.8833333333333,0.118933333333333,0.7735,4.53833333333333,4.358094126,24.9,0.161,0.793,6.27,6.070175439
