"","measure","pot","trt","geno","combo","rep","tcid","parent","block","SM","Anet5_0907","gs5_0907","fo5_0907","fm5_0907","fv5_0907","E5_0907","WUEi5_0907","Anet6_0913","gs6_0913","fo6_0913","fm6_0913","fv6_0913","E6_0913","WUEi6_0913","Anet7_0920","gs7_0920","fo7_0920","fm7_0920","fv7_0920","E7_0920","WUEi7_0920","Anet8_0925","gs8_0925","fo8_0925","fm8_0925","fv8_0925","E8_0925","WUEi8_0925","Anet9_1004","gs9_1004","fo9_1004","fm9_1004","fv9_1004","E9_1004","WUEi9_1004","Anet10_1011","gs10_1011","fo10_1011","fm10_1011","fv10_1011","E10_1011","WUEi10_1011","uAnet","ugs","ufv","uE","uWUEi","max_Anet","max_gs","max_fv","max_E","max_WUEi"
"89","physiology",278,20,2,8,2,225.1,225,"M",1402.4,17.9,0.123,45.9,197.2,0.767,4.4,4.068181818,14.5,0.0703,54.3,233.6,0.768,2.7,5.37037037,13.6,0.0886,63.4,263.7,0.759,3.72,3.655913978,24.1,0.134,84.9,319.9,0.735,6.22,3.874598071,16.8,0.0948,100,361.5,0.723,3.83,4.386422977,11.1,0.0504,110,437.4,0.749,1.69,6.568047337,16.3333333333333,0.0935166666666667,0.750166666666667,3.76,4.65392242516667,24.1,0.134,0.768,6.22,6.568047337
"90","physiology",281,25,2,9,2,225.2,225,"M",2439,20.1,0.109,40.8,182.1,0.776,3.97,5.062972292,20.9,0.102,55.7,234.4,0.762,3.8,5.5,19,0.0998,63.9,263.9,0.758,3.98,4.773869347,22.8,0.136,89.9,345.4,0.74,6.3,3.619047619,14.1,0.0638,86,301.4,0.715,2.68,5.26119403,18.4,0.0804,91,379.7,0.76,2.61,7.049808429,19.2166666666667,0.0985,0.751833333333333,3.89,5.2111486195,22.8,0.136,0.776,6.3,7.049808429
"91","physiology",282,15,2,7,5,229.3,229,"M",728.9,12.6,0.0609,61.2,171.542,0.778,2.39,5.271966527,10.1,0.0518,42.3,179.1,0.764,2.07,4.879227053,14.2,0.0883,64.4,266.6,0.758,3.56,3.988764045,16.8,0.106,59.4,226.7,0.738,5.16,3.255813953,17.8,0.0994,59.7,203.7,0.707,3.96,4.494949495,12.9,0.0557,92.3,382.3,0.759,1.89,6.825396825,14.0666666666667,0.0770166666666667,0.750666666666667,3.17166666666667,4.78601964966667,17.8,0.106,0.778,5.16,6.825396825
"92","physiology",288,20,1,3,5,304.2,304,"N",563.4,20.6,0.12,30,119.4,0.749,4.56,4.51754386,16.8,0.14,51.7,228.3,0.774,5.16,3.255813953,19.5,0.126,70.8,287.7,0.754,5.02,3.884462151,24.4,0.138,75.7,320.4,0.764,6.44,3.788819876,19.5,0.136,76.5,296.3,0.742,2.93492079207921,3.644859813,14.4,0.0804,110.9,482.2,0.77,2.68,5.373134328,19.2,0.1234,0.758833333333333,4.4658201320132,4.07743899683333,24.4,0.14,0.774,6.44,5.373134328
"93","physiology",293,30,3,15,2,295.1,295,"I",1494.6,23.3,0.132,49.6,216.5,0.771,4.8,4.854166667,28.2,0.159,51.5,230,0.776,5.86,4.812286689,11.8,0.0716,77.8,295.7,0.737,3,3.933333333,6.63,0.0481,79.6,293.6,0.729,2.45,2.706122449,11.5,0.0675,75.8,295.7,0.744,2.82,4.078014184,23.4,0.147,83.4,380.8,0.781,4.4,5.318181818,17.4716666666667,0.1042,0.756333333333333,3.88833333333333,4.28368419,28.2,0.159,0.781,5.86,5.318181818
"94","physiology",295,25,2,9,7,228.8,228,"N",1684.4,11.2,0.0573,43.4,159.8,0.729,2.09,5.358851675,23.4,0.11,50.5,234.3,0.785,4.14,5.652173913,16.8,0.0974,71.4,273.5,0.739,4.18,4.019138756,25.5,0.147,83.5,346.4,NA,6.58,3.875379939,21.7,0.106,96.1,350.4,0.726,4.37,4.965675057,24.9,0.151,111.6,474.1,0.765,4.5,5.533333333,20.5833333333333,0.11145,0.7488,4.31,4.90075877883333,25.5,0.151,0.785,6.58,5.652173913
"95","physiology",296,30,2,10,2,228.1,228,"N",986.8,16.5,0.17,28.1,104.8,0.731,6.02,2.740863787,17.7,0.13,52.7,218.7,0.759,4.98,3.554216867,23,0.152,61.4,262.2,0.766,6.19,3.715670436,7.61,0.0364,58.7,208.3,0.718,1.87,4.069518717,14.6,0.0773,89.1,362,0.754,3.27,4.464831804,21.6,0.124,95.8,415.3,0.769,3.8,5.684210526,16.835,0.11495,0.7495,4.355,4.0382186895,23,0.17,0.769,6.19,5.684210526
"96","physiology",297,10,3,11,4,296.2,296,"I",593.2,23.6,0.118,42.0079207920792,171.542,0.768,4.45,5.303370787,8.11,0.038,63.8,286.9,0.778,1.64,4.945121951,3.34,0.0168,66.8,263.4,0.746,0.798,4.185463659,4.19,0.0197,47.7,150.2,0.682,1.06,3.952830189,11.3,0.0532,61.8,240.1,0.743,2.24,5.044642857,2.41,0.0208,67.1,289.8,0.768,0.713,3.380084151,8.825,0.0444166666666667,0.7475,1.81683333333333,4.468585599,23.6,0.118,0.778,4.45,5.303370787
"97","physiology",299,20,2,8,7,248.5,248,"N",2199.1,20.6,0.126,54.1,221.7,0.756,4.55,4.527472527,15.4,0.0726,62,269.8,0.77,2.82,5.460992908,18.8,0.0953,68,288.8,0.765,4.24,4.433962264,27.1,0.162,77.9,302.2,0.742,6.97,3.888091822,22.8,0.117,73.8682692307692,434.2,0.728,4.89,4.662576687,12.1,0.054,97.5,403,0.758,1.88,6.436170213,19.4666666666667,0.104483333333333,0.753166666666667,4.225,4.9015444035,27.1,0.162,0.77,6.97,6.436170213
"98","physiology",302,25,1,4,6,163.4,163,"P",778,10.5,0.0688,34.4,149.6,0.77,2.5,4.2,21.8,0.16,59.2,266.4,0.778,5.84,3.732876712,20,0.145,83.4,363.1,0.77,5.92,3.378378378,19.5,0.165,90.8,372.8,0.756,7.24,2.693370166,20.1,0.133,85.7,341.5,0.749,2.93492079207921,3.661202186,9.35,0.14,86.6,364,0.762,4.26,2.194835681,16.875,0.1353,0.764166666666667,4.78248679867987,3.3101105205,21.8,0.165,0.778,7.24,4.2
"99","physiology",307,15,1,2,5,306.4,306,"P",1513.3,3.11,0.0869,37.7,156.9,0.759,2.88,4.25537511213684,10.2,0.0983,38.9,170,0.771,3.84,2.65625,15.9,0.0959,63.3565656565657,148.8,0.768,4.17,3.81294964,15.3,0.0809,35,141,0.752,4.13,3.704600484,18.8,0.101,53.8,202.9,0.735,4.22,4.454976303,7.17,0.03,69.8,271.1,0.743,1.08,6.638888889,11.7466666666667,0.0821666666666667,0.754666666666667,3.38666666666667,4.25384007135614,18.8,0.101,0.771,4.22,6.638888889
"100","physiology",309,25,1,4,7,163.5,163,"P",952.3,21.2,0.101,44.5,191,0.767,3.8,5.578947368,29.6,0.182,36.2,150.7,0.76,6.83,4.333821376,27.6,0.182,61.9,280.9,0.78,7.45,3.704697987,22.2,0.154,70.9,293.5,0.759,7.15,3.104895105,16.7,0.119,81.6,318.4,0.744,4.98,3.353413655,15.6,0.131,77,328,0.765,4.07,3.832923833,22.15,0.144833333333333,0.7625,5.71333333333333,3.98478322066667,29.6,0.182,0.78,7.45,5.578947368
"101","physiology",311,10,2,6,7,229.5,229,"N",3366.8,11.6,0.0635,31.8,122.6,0.74,2.38,4.87394958,9.08,0.0531,46.3,201.9,0.771,2.34,3.88034188,3.04,0.0124,73.7,258.7,0.715,0.578,5.259515571,4.06,0.0297,65.1,247.9,0.737,1.63,2.490797546,8.81,0.0535,62,227.9,0.728,2.39,3.686192469,8.65,0.0382,70.7,290.8,0.757,1.32,6.553030303,7.54,0.0417333333333333,0.741333333333333,1.773,4.45730455816667,11.6,0.0635,0.771,2.39,6.553030303
"102","physiology",315,20,1,3,4,170.1,170,"P",972,18.5,0.102,26.5,108.5,0.755,3.79,4.881266491,15.0237368932039,0.183,53.2,238.8,0.777,7.23,4.633471646,28.4,0.179,72.4,323.7,0.776,7.04,4.034090909,26.1,0.187,92.5,381.8,0.758,8.45,3.088757396,18,0.103,91.7,395.9,0.768,4.21,4.275534442,25.2,0.17,90.4,407.3,0.778,5.13,4.912280702,21.870622815534,0.154,0.768666666666667,5.975,4.30423359766667,28.4,0.187,0.778,8.45,4.912280702
"103","physiology",320,20,3,13,6,296.6,296,"I",1276,25.7,0.135,55.3,242.2,0.772,4.94,5.20242915,16.1,0.118,53.9,254.7,0.788,4.98,3.232931727,17.6,0.0922,89.1,253.828571428571,0.786,4.11,4.282238443,21.4,0.127,67.2,275.8,0.756,5.93,3.608768971,17.8,0.0937,104.2,431.8,0.759,3.8,4.684210526,10.6,0.0597,90,425.3,0.788,2.14,4.953271028,18.2,0.104266666666667,0.774833333333333,4.31666666666667,4.3273083075,25.7,0.135,0.788,5.93,5.20242915
"104","physiology",323,25,3,14,2,295.4,295,"I",1165.8,22.1,0.124,41.8,181.1,0.769,4.54,4.86784141,27.5,0.159,55.8,254.7,0.781,6.43,4.276827372,24.7,0.136,92.8,253.828571428571,0.781,5.46,4.523809524,13.7,0.0863,74.4,277.8,0.732,4.27,3.208430913,7.26,0.0386,95.7,374.4,0.744,1.69,4.295857988,5.36,0.03,92.7,423,0.781,1.13,4.743362832,16.77,0.09565,0.764666666666667,3.92,4.3193550065,27.5,0.159,0.781,6.43,4.86784141
"105","physiology",324,15,2,7,7,229.4,229,"N",1037.1,22.3,0.121,43.9,172.8,0.746,4.5,4.955555556,7.29,0.0495,55,226.7,0.757,2.31,3.155844156,13.2,0.086,66.8,277.8,0.759,3.76,3.510638298,28,0.16,64.6,266.6,0.758,7.49,3.738317757,23.2,0.12,82.9,322.4,0.743,4.55,5.098901099,10.1,0.0432,87.7,357.5,0.755,1.49,6.77852349,17.3483333333333,0.0966166666666667,0.753,4.01666666666667,4.53963005933333,28,0.16,0.759,7.49,6.77852349
