measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Bv,Bf,did_flwr,Br,Brh,did_rh,B_above,B_below,B_total,B_A,H10_1015,H11_1023,rgr11_1023,H12_1104,rgr12_1104,H13_1111,rgr13_1111,H14_1117,rgr14_1117,H15_1124,rgr15_1124
physiology,88,20,3,13,7,196.7,196,G,635.40000,10.03000,0.00000,0.00000,10.49000,0.00000,0.00000,10.03000,10.49000,20.52000,1.04586,42.00000,36.40000,-4.90000,54.90000,10.79167,67.00000,12.10000,70.20000,3.73333,81.20000,11.00000
physiology,180,25,3,14,1,176.1,176,T,1310.10000,12.25000,0.00000,0.00000,18.53000,8.50000,1.00000,12.25000,27.03000,39.28000,2.20653,38.80000,43.00000,3.67500,51.40000,4.90000,58.80000,7.40000,68.50000,11.31667,81.30000,12.80000
physiology,323,25,3,14,2,295.4,295,I,1165.80000,10.34000,0.00000,0.00000,10.98000,6.20000,1.00000,10.34000,17.18000,27.52000,1.66151,34.30000,37.60000,2.88750,49.20000,6.76667,53.70000,4.50000,53.10000,-0.70000,67.00000,13.90000
physiology,125,25,3,14,3,186.5,186,G,1774.20000,10.75000,0.00000,0.00000,14.33000,2.60000,1.00000,10.75000,16.93000,27.68000,1.57488,35.70000,52.80000,14.96250,60.20000,4.31667,66.60000,6.40000,61.50000,-5.95000,110.50000,49.00000
physiology,169,25,3,14,4,184.5,184,F,758.90000,10.21000,0.00000,0.00000,13.46000,0.00000,0.00000,10.21000,13.46000,23.67000,1.31832,31.80000,51.30000,17.06250,61.30000,5.83333,61.00000,-0.30000,66.30000,6.18333,74.00000,7.70000
physiology,197,25,3,14,5,154.5,154,T,1177.00000,8.61000,3.94000,1.00000,15.89000,7.30000,1.00000,12.55000,23.19000,35.74000,1.84781,45.80000,31.60000,-12.42500,35.00000,1.98333,46.90000,11.90000,55.00000,9.45000,64.50000,9.50000
physiology,93,25,3,14,6,196.6,196,G,1639.60000,9.69000,5.33000,1.00000,13.10000,0.50000,1.00000,15.02000,13.60000,28.62000,0.90546,45.90000,48.40000,2.18750,62.70000,8.34167,71.50000,8.80000,86.40000,17.38333,113.70000,27.30000
physiology,99,25,3,14,7,186.6,186,G,677.00000,8.67000,0.00000,0.00000,9.24000,3.50000,1.00000,8.67000,12.74000,21.41000,1.46943,36.20000,36.00000,-0.17500,41.10000,2.97500,46.60000,5.50000,51.20000,5.36667,60.10000,8.90000
physiology,255,30,3,15,1,182.1,182,S,640.90000,12.30000,0.00000,0.00000,10.55000,7.90000,1.00000,12.30000,18.45000,30.75000,1.50000,35.80000,32.20000,-3.15000,39.60000,4.31667,46.10000,6.50000,50.20000,4.78333,54.60000,4.40000
physiology,293,30,3,15,2,295.1,295,I,1494.60000,10.74000,0.00000,0.00000,10.92000,6.70000,1.00000,10.74000,17.62000,28.36000,1.64060,33.20000,40.70000,6.56250,47.10000,3.73333,50.90000,3.80000,55.70000,5.60000,58.20000,2.50000
physiology,2,30,3,15,3,183.2,183,H,864.60000,10.16000,0.00000,0.00000,9.72000,8.60000,1.00000,10.16000,18.32000,28.48000,1.80315,32.60000,25.30000,-6.38750,29.20000,2.27500,41.00000,11.80000,47.10000,7.11667,56.00000,8.90000
physiology,220,30,3,15,4,194.2,194,T,2067.10000,12.50000,0.00000,0.00000,13.47000,5.40000,1.00000,12.50000,18.87000,31.37000,1.50960,34.50000,42.60000,7.08750,61.40000,10.96667,66.10000,4.70000,67.00000,1.05000,67.10000,0.10000
physiology,76,30,3,15,5,196.3,196,G,1958.30000,12.56000,0.00000,0.00000,20.09000,14.50000,1.00000,12.56000,34.59000,47.15000,2.75398,37.50000,45.60000,7.08750,56.20000,6.18333,59.70000,3.50000,63.20000,4.08333,64.60000,1.40000
physiology,37,30,3,15,6,183.5,183,H,1125.80000,8.50000,0.00000,0.00000,5.65000,0.00000,0.00000,8.50000,5.65000,14.15000,0.66471,32.50000,38.60000,5.33750,49.00000,6.06667,53.00000,4.00000,58.80000,6.76667,66.60000,7.80000
physiology,234,30,3,15,7,182.5,182,S,2054.00000,14.81000,0.00000,0.00000,13.15000,3.70000,1.00000,14.81000,16.85000,31.66000,1.13774,36.50000,41.50000,4.37500,60.10000,10.85000,69.00000,8.90000,76.20000,8.40000,79.90000,3.70000
