measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Bv,Bf,did_flwr,Br,Brh,did_rh,B_above,B_below,B_total,B_A,H10_1015,H11_1023,rgr11_1023,H12_1104,rgr12_1104,H13_1111,rgr13_1111,H14_1117,rgr14_1117,H15_1124,rgr15_1124
physiology,184,25,1,4,2,256.1,256,K,531.60000,6.17000,0.00000,0.00000,6.28000,3.30000,1.00000,6.17000,9.58000,15.75000,1.55267,38.00000,37.70000,-0.26250,40.20000,1.45833,49.20000,9.00000,55.30000,7.11667,68.90000,13.60000
physiology,174,25,1,4,3,167.2,167,K,564.70000,9.60000,0.00000,0.00000,13.05000,4.00000,1.00000,9.60000,17.05000,26.65000,1.77604,32.60000,39.20000,5.77500,48.20000,5.25000,54.70000,6.50000,54.30000,-0.46667,64.50000,10.20000
physiology,134,25,1,4,4,255.3,255,R,1037.80000,8.06000,1.12000,1.00000,9.10000,0.00000,0.00000,9.18000,9.10000,18.28000,0.99129,37.80000,51.10000,11.63750,65.70000,8.51667,70.00000,4.30000,78.40000,9.80000,105.90000,27.50000
physiology,264,25,1,4,5,156.3,156,J,1918.10000,7.68000,3.18000,1.00000,11.79000,8.90000,1.00000,10.86000,20.69000,31.55000,1.90516,34.70000,42.60000,6.91250,57.10000,8.45833,59.20000,2.10000,64.50000,6.18333,78.10000,13.60000
physiology,302,25,1,4,6,163.4,163,P,778.00000,6.26000,1.05000,1.00000,8.90000,9.10000,1.00000,7.31000,18.00000,25.31000,2.46238,32.50000,37.80000,4.63750,43.90000,3.55833,50.40000,6.50000,60.80000,12.13333,72.10000,11.30000
physiology,309,25,1,4,7,163.5,163,P,952.30000,4.02000,5.11000,1.00000,8.13000,0.00000,0.00000,9.13000,8.13000,17.26000,0.89047,36.80000,50.20000,11.72500,64.30000,8.22500,71.80000,7.50000,84.00000,14.23333,108.70000,24.70000
physiology,36,30,1,5,1,157.1,157,E,1623.70000,11.12000,0.00000,0.00000,9.41000,5.10000,1.00000,11.12000,14.51000,25.63000,1.30486,29.10000,46.80000,15.48750,60.20000,7.81667,66.60000,6.40000,67.70000,1.28333,83.30000,15.60000
physiology,97,30,1,5,2,251.2,251,Q,644.10000,3.24000,0.00000,0.00000,4.81000,0.00000,0.00000,3.24000,4.81000,8.05000,1.48457,22.40000,25.20000,2.45000,28.70000,2.04167,39.80000,11.10000,45.40000,6.53333,56.30000,10.90000
physiology,260,30,1,5,3,173.3,173,J,1717.30000,5.70000,4.75000,1.00000,15.65000,7.50000,1.00000,10.45000,23.15000,33.60000,2.21531,27.30000,30.40000,2.71250,45.00000,8.51667,53.20000,8.20000,60.70000,8.75000,69.50000,8.80000
physiology,22,30,1,5,4,259.4,259,D,947.50000,11.20000,0.00000,0.00000,8.05000,7.50000,1.00000,11.20000,15.55000,26.75000,1.38839,23.70000,24.40000,0.61250,34.60000,5.95000,39.60000,5.00000,39.10000,-0.58333,47.10000,8.00000
physiology,44,30,1,5,5,258.4,258,E,498.20000,9.25000,0.00000,0.00000,7.68000,7.40000,1.00000,9.25000,15.08000,24.33000,1.63027,27.50000,43.90000,14.35000,55.30000,6.65000,57.20000,1.90000,62.90000,6.65000,69.50000,6.60000
physiology,1,30,1,5,6,167.5,167,L,700.80000,9.60000,0.00000,0.00000,10.29000,7.70000,1.00000,9.60000,17.99000,27.59000,1.87396,24.50000,20.60000,-3.41250,30.10000,5.54167,39.90000,9.80000,41.60000,1.98333,54.50000,12.90000
physiology,15,30,1,5,7,259.6,259,D,251.10000,9.20000,0.00000,0.00000,6.77000,1.70000,1.00000,9.20000,8.47000,17.67000,0.92065,29.70000,23.10000,-5.77500,22.30000,-0.46667,29.10000,6.80000,34.60000,6.41667,46.20000,11.60000
physiology,151,10,2,6,1,227.1,227,B,1882.00000,0.81000,2.62000,1.00000,3.40000,0.00000,0.00000,3.43000,3.40000,6.83000,0.99125,33.60000,35.50000,1.66250,38.00000,1.45833,42.70000,4.70000,50.60000,9.21667,60.20000,9.60000
physiology,94,10,2,6,2,226.3,226,C,1754.20000,3.93000,3.34000,1.00000,5.79000,2.40000,1.00000,7.27000,8.19000,15.46000,1.12655,24.80000,21.00000,-3.32500,21.80000,0.46667,22.60000,0.80000,25.80000,3.73333,36.60000,10.80000
physiology,205,10,2,6,3,246.3,246,A,1631.80000,4.11000,0.00000,0.00000,4.10000,0.00000,0.00000,4.11000,4.10000,8.21000,0.99757,28.30000,57.00000,25.11250,88.40000,18.31667,104.00000,15.60000,129.10000,29.28333,154.00000,24.90000
physiology,12,10,2,6,4,247.4,247,L,1777.10000,2.09000,1.73000,1.00000,2.79000,0.00000,0.00000,3.82000,2.79000,6.61000,0.73037,32.70000,21.00000,-10.23750,35.00000,8.16667,45.10000,10.10000,49.60000,5.25000,57.90000,8.30000
physiology,173,10,2,6,5,221.4,221,B,530.00000,2.86000,0.00000,0.00000,2.42000,0.00000,0.00000,2.86000,2.42000,5.28000,0.84615,29.90000,37.30000,6.47500,49.30000,7.00000,55.20000,5.90000,55.90000,0.81667,69.00000,13.10000
physiology,230,10,2,6,6,246.5,246,A,1666.70000,3.23000,0.00000,0.00000,3.72000,0.00000,0.00000,3.23000,3.72000,6.95000,1.15170,25.10000,32.50000,6.47500,32.40000,-0.05833,41.90000,9.50000,49.60000,8.98333,64.00000,14.40000
physiology,311,10,2,6,7,229.5,229,N,3366.80000,3.99000,0.00000,0.00000,4.79000,0.00000,0.00000,3.99000,4.79000,8.78000,1.20050,24.70000,53.00000,24.76250,66.80000,8.05000,72.00000,5.20000,86.90000,17.38333,121.50000,34.60000
physiology,71,15,2,7,1,247.1,247,L,1059.50000,1.67000,4.47000,1.00000,5.70000,0.60000,1.00000,6.14000,6.30000,12.44000,1.02606,35.80000,21.80000,-12.25000,20.50000,-0.75833,27.20000,6.70000,34.60000,8.63333,43.60000,9.00000
