pot,trt,geno,combo,rep,SM,H2_0821,T2_0821,H4_0904,T4_0904,rgr_0904,H6_0918,T6_0918,rgr_0918,H7_0926,T7_0926,rgr_0926,H8_1002,T8_1002,rgr_1002,H9_1009,T9_1009,rgr_1009,H10_1015,rgr_1015
322,25,2,9,20,1827.6,27.6,2,31.2,2,1.8,32,4,0.4,32,2,0,38.6,3,7.7,45.5,3,6.9,51.6,7.116666667
4,30,2,10,1,1367.1,21.6,3,26.7,3,2.55,28,7,0.65,27.2,3,-0.7,30.2,3,3.5,32.4,3,2.2,42.2,11.43333333
35,30,2,10,2,2470.2,24.6,3,28,3,1.7,34,6,3,34,3,0,33.2,3,-0.933333333,33.7,3,0.5,35.5,2.1
39,30,2,10,3,2714.3,28.5,4,30.9,3,1.2,37.1,6,3.1,37.2,4,0.0875,37,5,-0.233333333,36.8,4,-0.2,40.2,3.966666667
64,30,2,10,4,756.9,15.6,4,19.8,4,2.1,24.9,4,2.55,26.5,3,1.4,28.5,4,2.333333333,30.4,4,1.9,34.5,4.783333333
90,30,2,10,5,1203.1,16.9,2,19.9,3,1.5,25.5,5,2.8,26.1,2,0.525,27.8,3,1.983333333,30.6,3,2.8,34.6,4.666666667
154,30,2,10,6,2645.1,25.1,2,28.2,2,1.55,29.7,4,0.75,29.4,3,-0.2625,30.5,2,1.283333333,32.5,2,2,40.2,8.983333333
163,30,2,10,7,1839.3,26.3,3,34.4,3,4.05,34.8,3,0.2,35.2,3,0.35,35.3,3,0.116666667,38.9,3,3.6,47.6,10.15
186,30,2,10,8,950.1,25.6,2,24.9,2,-0.35,31.6,5,3.35,31.5,3,-0.0875,31.6,2,0.116666667,32.7,2,1.1,43.1,12.13333333
199,30,2,10,9,729.6,26.4,1,26,1,-0.2,28.2,1,1.1,28.3,1,0.0875,28.4,1,0.116666667,34.8,1,6.4,41.6,7.933333333
203,30,2,10,10,4980.8,27.9,4,27.5,4,-0.2,34,10,3.25,34.4,6,0.35,34.2,4,-0.233333333,37.5,5,3.3,49.2,13.65
233,30,2,10,11,1572.9,31.3,1,32.1,1,0.4,33,2,0.45,32.5,2,-0.4375,32.7,2,0.233333333,34.8,2,2.1,43.7,10.38333333
236,30,2,10,12,1729.7,26,1,33.8,1,3.9,37.2,1,1.7,38.3,1,0.9625,37,1,-1.516666667,36.7,1,-0.3,41,5.016666667
263,30,2,10,13,306.9,18.5,1,23.7,1,2.6,26.5,2,1.4,26,1,-0.4375,26,1,0,30.7,1,4.7,38.8,9.45
267,30,2,10,14,498.1,22.7,2,30.3,2,3.8,30.6,2,0.15,30,2,-0.525,35.2,2,6.066666667,38.3,2,3.1,47.5,10.73333333
268,30,2,10,15,1333,30.6,1,35.9,1,2.65,35.1,1,-0.4,35.7,1,0.525,35.3,1,-0.466666667,35.5,1,0.2,39.2,4.316666667
296,30,2,10,16,986.8,21.2,2,25.7,2,2.25,26.1,2,0.2,26.3,3,0.175,26,2,-0.35,30.5,2,4.5,37.5,8.166666667
316,30,2,10,17,949.1,24.3,2,30.2,2,2.95,32.6,4,1.2,32.3,2,-0.2625,30.5,2,-2.1,32,2,1.5,40,9.333333333
317,30,2,10,18,1885.6,30.8,1,31.1,1,0.15,29.2,2,-0.95,29.6,2,0.35,29,1,-0.7,29.5,1,0.5,37.9,9.8
321,30,2,10,19,1520,23.5,2,24,2,0.25,29.5,4,2.75,30,2,0.4375,29.5,2,-0.583333333,29,2,-0.5,35.5,7.583333333
30,10,5,11,1,406.2,23.9,1,27.4,1,1.75,27,3,-0.2,27.6,3,0.525,27.8,3,0.233333333,27.7,3,-0.1,28.5,0.933333333
32,10,5,11,2,658.5,32.5,2,35,2,1.25,38.2,4,1.6,38.1,4,-0.0875,34.4,5,-4.316666667,38,5,3.6,38.2,0.233333333
54,10,5,11,3,782.1,33.6,2,37,2,1.7,38.2,3,0.6,38.5,1,0.2625,38.5,2,0,38.8,3,0.3,38.5,-0.35
126,10,5,11,4,634.4,28.1,1,31.1,1,1.5,31.8,2,0.35,31.9,1,0.0875,32.1,2,0.233333333,32.6,3,0.5,32.3,-0.35
146,10,5,11,5,1862.9,32.5,3,37,4,2.25,37,5,0,36.8,3,-0.175,37,5,0.233333333,37.1,5,0.1,37.6,0.583333333
147,10,5,11,6,581.8,28.9,1,35,1,3.05,35.9,3,0.45,35.5,2,-0.35,36,3,0.583333333,35.9,3,-0.1,36,0.116666667
152,10,5,11,7,1704.2,31.1,3,35,3,1.95,35,4,0,34.6,3,-0.35,35.7,5,1.283333333,36.1,4,0.4,35.5,-0.7
160,10,5,11,8,1807.2,31.5,3,34,3,1.25,35.6,3,0.8,35.5,3,-0.0875,36.2,3,0.816666667,36.2,3,0,35.6,-0.7
181,10,5,11,9,1917.6,35,4,35.6,4,0.3,36.2,3,0.3,36.5,4,0.2625,36.3,4,-0.233333333,37.3,3,1,36.6,-0.816666667
183,10,5,11,10,699,30,2,32.4,2,1.2,33.1,4,0.35,32.5,3,-0.525,33.2,3,0.816666667,33.4,3,0.2,32.9,-0.583333333
194,10,5,11,11,1199.6,30.8,2,36.5,7,2.85,36.5,2,0,33.6,2,-2.5375,36.4,2,3.266666667,36.8,3,0.4,36.8,0
211,10,5,11,12,1406.3,36.1,3,37.8,3,0.85,37.6,3,-0.1,37.9,3,0.2625,38.1,3,0.233333333,38.2,4,0.1,38.2,0
212,10,5,11,13,1729,34,2,37.2,4,1.6,37.5,2,0.15,37.2,3,-0.2625,37.6,2,0.466666667,38.2,3,0.6,37.5,-0.816666667
221,10,5,11,14,2014.1,37.1,3,38.9,3,0.9,39.8,3,0.45,40,4,0.175,40,4,0,40.3,4,0.3,40.1,-0.233333333
225,10,5,11,15,2085.9,28.4,5,31.8,6,1.7,32,6,0.1,32.3,6,0.2625,32.2,6,-0.116666667,30,6,-2.2,29.9,-0.116666667
283,10,5,11,16,551.9,31.7,1,35.5,1,1.9,37.1,1,0.8,37.5,2,0.35,37.7,3,0.233333333,37.5,2,-0.2,37.6,0.116666667
297,10,5,11,17,593.2,31.6,2,33.7,2,1.05,34,3,0.15,34.9,3,0.7875,34.6,5,-0.35,31.5,7,-3.1,31.8,0.35
304,10,5,11,18,1065.4,27.9,4,29.2,4,0.65,32.6,7,1.7,33.2,4,0.525,32.8,5,-0.466666667,32.9,6,0.1,32.8,-0.116666667
314,10,5,11,19,1317,28,3,30,3,1,30.8,4,0.4,31.4,3,0.525,31.4,4,0,31.4,4,0,31.8,0.466666667
318,10,5,11,20,1493,33.6,4,33.2,4,-0.2,32.8,4,-0.2,31.5,4,-1.1375,31.5,4,0,32.1,4,0.6,31.9,-0.233333333
19,15,5,12,1,693.7,38.2,1,40.5,1,1.15,41.1,2,0.3,41.4,2,0.2625,40.7,2,-0.816666667,39.7,3,-1,40.7,1.166666667
28,15,5,12,2,1138.5,33,2,36,2,1.5,37.3,5,0.65,37.6,4,0.2625,37.5,5,-0.116666667,37.9,4,0.4,37.7,-0.233333333
49,15,5,12,3,1793.9,29.4,2,33,2,1.8,32,6,-0.5,32.2,6,0.175,31.9,6,-0.35,32.9,6,1,32,-1.05
60,15,5,12,4,2429,36.1,3,38.8,4,1.35,40.8,7,1,40.3,7,-0.4375,40.6,8,0.35,41.4,9,0.8,40.6,-0.933333333
82,15,5,12,5,2256.9,34.2,2,36,4,0.9,37.9,5,0.95,38.1,5,0.175,37.2,9,-1.05,37.6,8,0.4,37.6,0
91,15,5,12,6,932.5,31.6,2,34.7,2,1.55,36.8,4,1.05,37.4,4,0.525,37.5,4,0.116666667,37.6,4,0.1,37.4,-0.233333333
130,15,5,12,7,1559.4,36.6,1,38,1,0.7,36.7,4,-0.65,37,4,0.2625,36.2,5,-0.933333333,36.5,4,0.3,36.8,0.35
132,15,5,12,8,1649.4,29.6,3,34.3,3,2.35,35,4,0.35,34.6,3,-0.35,34.7,3,0.116666667,33.7,3,-1,33.3,-0.466666667
136,15,5,12,9,1771.8,29.4,3,32.8,3,1.7,33.4,9,0.3,33.2,7,-0.175,30.8,7,-2.8,31.2,8,0.4,31,-0.233333333
138,15,5,12,10,1658.1,32.3,3,33.6,4,0.65,34,5,0.2,34,6,0,34,6,0,34.2,6,0.2,36.1,2.216666667
142,15,5,12,11,277.1,26.1,1,27.6,1,0.75,28.9,3,0.65,29,3,0.0875,29.4,3,0.466666667,31,3,1.6,31.7,0.816666667
170,15,5,12,12,1082.9,28.6,2,29.6,3,0.5,31,6,0.7,30.6,6,-0.35,31,6,0.466666667,31.1,6,0.1,31,-0.116666667
179,15,5,12,13,1707.1,41.4,3,46.2,5,2.4,46.7,3,0.25,46.7,8,0,46.7,8,0,47.4,10,0.7,45.9,-1.75
196,15,5,12,14,2598.1,33.5,4,38.1,5,2.3,38.5,7,0.2,38.7,12,0.175,38.8,14,0.116666667,39,14,0.2,38.1,-1.05
229,15,5,12,15,2052.2,35.1,3,37.5,3,1.2,37.6,3,0.05,37.7,7,0.0875,38,7,0.35,36.4,6,-1.6,36.8,0.466666667
232,15,5,12,16,1132.6,27.4,4,31.6,4,2.1,31,5,-0.3,32.1,8,0.9625,32,10,-0.116666667,31.6,9,-0.4,30,-1.866666667
256,15,5,12,17,404.4,26.6,1,26.9,1,0.15,27.3,3,0.2,32.2,3,4.2875,39,3,7.933333333,45,3,6,47.9,3.383333333
265,15,5,12,18,1126.2,28.2,3,33,5,2.4,33.4,8,0.2,33.6,5,0.175,33.1,7,-0.583333333,35.6,7,2.5,38.9,3.85
269,15,5,12,19,2233.9,33.6,4,40.1,4,3.25,41.7,10,0.8,42,7,0.2625,42,9,0,40.4,10,-1.6,40.6,0.233333333
276,15,5,12,20,591.4,29.2,1,34,1,2.4,34.8,3,0.4,34.4,3,-0.35,34.6,3,0.233333333,34.6,3,0,34.5,-0.116666667
55,20,5,13,1,2446.7,35.2,7,35.2,7,0,35.7,19,0.25,37.1,17,1.225,38.6,18,1.75,40.2,14,1.6,42.8,3.033333333
61,20,5,13,2,906.8,34,1,34,2,0,35.3,6,0.65,35.5,6,0.175,39.7,5,4.9,44.3,5,4.6,48.7,5.133333333
75,20,5,13,3,3470.5,25.5,5,26.9,6,0.7,28,11,0.55,37.5,7,8.3125,41.3,8,4.433333333,44,8,2.7,47.8,4.433333333
88,20,5,13,4,635.4,26.1,2,29.5,2,1.7,31.1,5,0.8,34,3,2.5375,34.1,4,0.116666667,38.5,4,4.4,42,4.083333333
89,20,5,13,5,1278.8,35.1,1,27.4,1,-3.85,38.4,4,5.5,38,5,-0.35,38,4,0,37.5,4,-0.5,39.1,1.866666667
112,20,5,13,6,1897.7,33.4,5,33.2,5,-0.1,33.3,13,0.05,34.1,10,0.7,33,10,-1.283333333,35,10,2,34.7,-0.35
131,20,5,13,7,1382.7,33,3,37.8,3,2.4,37.9,7,0.05,37.7,4,-0.175,38,7,0.35,39.3,6,1.3,42.3,3.5
168,20,5,13,8,1647.1,29.3,5,32.8,5,1.75,37.8,9,2.5,37,7,-0.7,37.2,7,0.233333333,39.4,6,2.2,41,1.866666667
190,20,5,13,9,1883.4,33.9,4,37.6,6,1.85,39.1,14,0.75,38.9,13,-0.175,39,13,0.116666667,39.4,13,0.4,38.9,-0.583333333
193,20,5,13,10,3127.9,40.1,4,40.4,5,0.15,41.1,13,0.35,44.3,10,2.8,45.2,11,1.05,45.9,9,0.7,45.7,-0.233333333
228,20,5,13,11,1226.8,23.7,5,29.4,4,2.85,32.5,9,1.55,32.6,9,0.0875,34.1,8,1.75,35.6,8,1.5,38.8,3.733333333
254,20,5,13,12,1026.7,23.4,2,28,4,2.3,28.4,5,0.2,36.1,5,6.7375,42.1,5,7,43.6,5,1.5,48,5.133333333
270,20,5,13,13,1486.5,49,1,48.5,1,-0.25,49.4,6,0.45,50.1,6,0.6125,50.1,6,0,49.6,6,-0.5,50,0.466666667
272,20,5,13,14,1227.5,34.4,2,37.8,2,1.7,36.5,7,-0.65,36.5,6,0,39.6,6,3.616666667,41.5,6,1.9,44.8,3.85
273,20,5,13,15,1649.3,30.2,3,34.6,4,2.2,34.9,7,0.15,35.2,7,0.2625,39.1,7,4.55,40.1,7,1,45.4,6.183333333
274,20,5,13,16,657.9,31.7,1,36.4,2,2.35,37.1,5,0.35,36.2,4,-0.7875,39.9,4,4.316666667,43.1,4,3.2,47.1,4.666666667
287,20,5,13,17,982,32.7,2,36.8,2,2.05,36.5,6,-0.15,37.8,6,1.1375,40.9,5,3.616666667,41.8,5,0.9,46.5,5.483333333
291,20,5,13,18,1293.5,35.7,3,38.3,3,1.3,36.2,7,-1.05,36.4,9,0.175,38.9,9,2.916666667,39.4,9,0.5,39.1,-0.35
300,20,5,13,19,378.5,31.5,1,32.4,2,0.45,34.5,3,1.05,35.3,3,0.7,36.3,3,1.166666667,38.3,3,2,41.2,3.383333333
320,20,5,13,20,1276,44,1,44.3,1,0.15,42.5,4,-0.9,42.5,4,0,41.4,4,-1.283333333,41.1,4,-0.3,43.6,2.916666667
10,25,5,14,1,410.4,26.8,1,28.4,1,0.8,31.4,4,1.5,32,4,0.525,39,4,8.166666667,43.8,4,4.8,47.8,4.666666667
67,25,5,14,2,1553.5,30.3,2,33.5,2,1.6,37.4,9,1.95,37,6,-0.35,39.6,6,3.033333333,41.4,6,1.8,45.9,5.25
79,25,5,14,3,1055.5,28,2,34.4,2,3.2,36.5,7,1.05,36.5,7,0,39,7,2.916666667,40.7,7,1.7,44.9,4.9
81,25,5,14,4,1314.4,37.1,2,38.1,2,0.5,39,10,0.45,38.5,7,-0.4375,40.5,7,2.333333333,41.5,6,1,44.1,3.033333333
93,25,5,14,5,1639.6,36.7,1,36.9,1,0.1,39.3,4,1.2,39.5,3,0.175,39.2,3,-0.35,43.9,3,4.7,45.9,2.333333333
99,25,5,14,6,677,27.7,1,32.2,1,2.25,34.1,4,0.95,33.3,4,-0.7,33,4,-0.35,33.4,4,0.4,36.2,3.266666667
109,25,5,14,7,280.5,19.4,2,20.3,3,0.45,24.5,5,2.1,31.2,4,5.8625,34,4,3.266666667,36.8,4,2.8,37.2,0.466666667
123,25,5,14,8,268.5,23.2,1,26,1,1.4,25,4,-0.5,34.7,3,8.4875,38.5,3,4.433333333,40,3,1.5,39.8,-0.233333333
125,25,5,14,9,1774.2,33.5,6,33.8,6,0.15,36.5,13,1.35,34.3,11,-1.925,34.2,13,-0.116666667,34,12,-0.2,35.7,1.983333333
158,25,5,14,10,1648.5,37.5,3,41.3,3,1.9,44.5,11,1.6,43.9,12,-0.525,44,12,0.116666667,44,13,0,41,-3.5
165,25,5,14,11,1716.2,29.2,5,32.1,5,1.45,37.4,13,2.65,33.8,10,-3.15,37.2,10,3.966666667,39.8,10,2.6,43,3.733333333
169,25,5,14,12,758.9,31.1,2,35.6,2,2.25,37.5,5,0.95,37.2,5,-0.2625,39.7,5,2.916666667,40.7,5,1,31.8,-10.38333333
180,25,5,14,13,1310.1,38.4,2,41.5,2,1.55,41.7,8,0.1,41.5,8,-0.175,42,8,0.583333333,37.6,8,-4.4,38.8,1.4
195,25,5,14,14,1001.6,36.1,2,37.3,3,0.6,38,8,0.35,37.3,6,-0.6125,40.7,7,3.966666667,42,7,1.3,45,3.5
197,25,5,14,15,1177,41,1,43.4,1,1.2,44.1,4,0.35,44,3,-0.0875,43.7,3,-0.35,43.6,3,-0.1,45.8,2.566666667
209,25,5,14,16,1117,35.5,1,39.2,1,1.85,39.2,4,0,39,4,-0.175,40,4,1.166666667,41.2,4,1.2,43.5,2.683333333
257,25,5,14,17,672,27.8,2,31.5,2,1.85,33,5,0.75,39.8,5,5.95,43.3,5,4.083333333,43.6,5,0.3,49.5,6.883333333
285,25,5,14,18,528.5,33.2,1,37,1,1.9,37,4,0,35.4,4,-1.4,37.1,4,1.983333333,40.2,4,3.1,44.2,4.666666667
292,25,5,14,19,811.7,31.8,2,37.4,2,2.8,38.4,6,0.5,38,5,-0.35,37.6,5,-0.466666667,39.1,5,1.5,43.9,5.6
323,25,5,14,20,1165.8,30.7,4,29.7,4,-0.5,30,7,0.15,30.5,7,0.4375,30,7,-0.583333333,30.2,7,0.2,34.3,4.783333333
2,30,5,15,1,864.6,27.3,2,23.4,2,-1.95,34.3,8,5.45,33.3,5,-0.875,32.8,5,-0.583333333,32.7,5,-0.1,32.6,-0.116666667
3,30,5,15,2,2922.9,29.6,6,30.8,7,0.6,30.4,17,-0.2,31.5,12,0.9625,32.2,14,0.816666667,33.3,12,1.1,35.5,2.566666667
27,30,5,15,3,1293.5,31.7,4,32.1,4,0.2,37,10,2.45,36.5,10,-0.4375,36.4,9,-0.116666667,36.9,10,0.5,37,0.116666667
37,30,5,15,4,1125.8,24.8,1,26.5,1,0.85,27.5,4,0.5,27.8,3,0.2625,27.6,3,-0.233333333,28.7,3,1.1,32.5,4.433333333
57,30,5,15,5,827.9,36.6,1,40.2,1,1.8,39.4,4,-0.4,39.3,3,-0.0875,39.4,3,0.116666667,40.4,3,1,44.2,4.433333333
62,30,5,15,6,2847.1,28.5,3,31,4,1.25,34.4,10,1.7,34,7,-0.35,34.8,7,0.933333333,36.8,6,2,43.6,7.933333333
76,30,5,15,7,1958.3,29.9,6,21.9,7,-4,35.5,13,6.8,34.2,11,-1.1375,34.3,11,0.116666667,32.9,11,-1.4,37.5,5.366666667
118,30,5,15,8,1079.8,33.5,3,34.1,3,0.3,37.5,9,1.7,37.7,8,0.175,37.3,9,-0.466666667,37.6,9,0.3,37,-0.7
139,30,5,15,9,1218.4,27.6,3,29,3,0.7,34.2,7,2.6,34.1,6,-0.0875,35,7,1.05,35,6,0,34,-1.166666667
157,30,5,15,10,676.1,34,1,36.6,1,1.3,39.5,4,1.45,37.5,4,-1.75,39.3,4,2.1,40.7,4,1.4,44.5,4.433333333
172,30,5,15,11,1363.6,27.7,4,30.1,5,1.2,35,11,2.45,35,10,0,34.8,9,-0.233333333,34.5,10,-0.3,34.7,0.233333333
175,30,5,15,12,1560.4,37.2,2,40.3,2,1.55,43.1,5,1.4,42.6,4,-0.4375,43,3,0.466666667,42.4,3,-0.6,41.4,-1.166666667
176,30,5,15,13,1360.3,39,2,42.3,2,1.65,43.2,6,0.45,43.3,6,0.0875,43,6,-0.35,43.1,6,0.1,44,1.05
177,30,5,15,14,1230.2,27.3,3,30.8,3,1.75,31.8,8,0.5,30.9,6,-0.7875,31.5,6,0.7,33.1,6,1.6,38.8,6.65
220,30,5,15,15,2067.1,34.9,3,38.2,3,1.65,39.4,13,0.6,40.9,12,1.3125,36,12,-5.716666667,35.5,12,-0.5,34.5,-1.166666667
234,30,5,15,16,2054,26.5,4,31.4,5,2.45,35.8,16,2.2,35.5,11,-0.2625,35.2,11,-0.35,33,11,-2.2,36.5,4.083333333
247,30,5,15,17,1362.1,29.5,3,36.6,4,3.55,36.6,7,0,36.6,6,0,36.7,6,0.116666667,35.4,6,-1.3,34,-1.633333333
255,30,5,15,18,640.9,27,1,29.1,2,1.05,30.1,4,0.5,29.7,4,-0.35,29.5,4,-0.233333333,33.3,4,3.8,35.8,2.916666667
293,30,5,15,19,1494.6,30.7,4,33.6,5,1.45,35.8,7,1.1,35,7,-0.7,35.2,7,0.233333333,35,7,-0.2,33.2,-2.1
319,30,5,15,20,902.5,30.2,1,35.5,1,2.65,36.5,5,0.5,36,5,-0.4375,31.7,5,-5.016666667,36,5,4.3,35,-1.166666667
