"","obs","pot","geno","trt","combo","rep","measure","SM","Bv","Br","DMCv","DMCr","B_A","SLA","LA","Rl","Rsa","Rd","Rv","Rt","Rsa_la","srl","ssa"
"25",4749,213,1,25,4,4,"biomass",581.3,1.6923,2.806,0.27735,0.1115,1.6581,188.39276,284.47307,12353.64458,1295.06594,0.3337,10.81585,46630.61818,4.55251,4402.58182,461.53455
"26",4752,216,1,25,4,5,"biomass",925.6,2.1567,1.9053,0.27925,0.09669,0.88343,212.39917,437.5423,12517.55113,1184.15744,0.3011,8.90579,37566.25496,2.70638,6569.85836,621.50708
"27",4773,237,1,25,4,6,"biomass",584.2,1.8022,2.1479,0.26965,0.13599,1.19182,237.65727,406.39393,8431.90767,909.11883,0.3432,7.795,31986.36064,2.23704,3925.65188,423.25939
"28",4797,261,1,25,4,7,"biomass",1021.5,1.8735,2.1559,0.26815,0.13275,1.15073,194.41296,340.22267,8927.10349,1082.18037,0.3859,10.44359,34445.54108,3.1808,4140.77809,501.96223
"29",4569,33,1,30,5,1,"biomass",447.3,0.6566,0.8582,0.26289,0.09307,1.30704,248.9295,144.37911,4149.19481,442.96824,0.3398,3.77428,15321.79058,3.06809,4834.7644,516.15969
"30",4592,56,1,30,5,2,"biomass",853.9,1.2933,1.4068,0.26029,0.15395,1.08776,281.89493,349.54972,8473.25523,822.08567,0.3088,6.35095,23732.48347,2.35184,6023.07025,584.3657
"31",4606,70,1,30,5,3,"biomass",1811.7,1.6703,2.4048,0.30268,0.13318,1.43974,239.96678,379.14751,11855.95656,1301.10611,0.3493,11.34886,43948.68449,3.43166,4930.12166,541.04545
"32",4621,85,1,30,5,4,"biomass",1539.4,2.2307,2.5512,0.29596,0.12892,1.14368,254.39842,554.58856,16713.28026,1451.42856,0.2764,10.03281,61522.61798,2.61713,6551.14466,568.91994
"33",4760,224,1,30,5,5,"biomass",695.1,0.9365,1.2238,0.2654,0.11169,1.30678,317.11504,279.06124,4953.20756,651.04204,0.4184,6.81752,16457.03653,2.33297,4047.39954,531.98402
"34",4813,277,1,30,5,6,"biomass",420.2,1.1928,1.3994,0.28543,0.11016,1.17321,246.94268,279.04522,9932.15271,874.46517,0.2803,6.10906,31717.36548,3.13378,7097.43655,624.88579
"35",4834,298,1,30,5,7,"biomass",1303,1.3317,1.7105,0.20105,0.12917,1.28445,250.15342,315.19331,7939.16538,820.81193,0.3291,6.75753,36152.79012,2.60415,4641.42963,479.86667
"36",4642,106,2,10,6,1,"biomass",1058.7,0.3603,0.8857,0.42594,0.15203,2.45823,152.42839,42.67995,7067.56816,538.79631,0.2427,3.27535,16357.34792,12.62411,7979.64114,608.32823
"37",4692,156,2,10,6,2,"biomass",646.5,0.4206,1.1881,0.37155,0.18411,2.82477,167.06759,53.46163,10899.6608,826.64544,0.2414,4.98967,24110.92805,15.46241,9174.02643,695.77093
"38",4707,171,2,10,6,3,"biomass",1499.3,0.732,1.3746,0.46061,0.19845,1.87787,146.42391,93.7113,9028.97688,736.88731,0.2598,4.7772,19848.4843,7.86338,6568.43946,536.07399
"39",4758,222,2,10,6,4,"biomass",2354.8,0.6788,1.5508,0.43636,0.17513,2.28462,135.56686,82.69578,11187.21977,906.41189,0.2579,5.83469,21208.34158,10.9608,7213.83787,584.4802
"40",4787,251,2,10,6,5,"biomass",2091.3,0.8085,1.2038,0.39168,0.17905,1.48893,186.63248,139.97436,9858.11254,740.04831,0.239,4.41519,22660.87461,5.28703,8189.16144,614.76019
