obs,pot,geno,trt,combo,rep,measure,SM,Bv,Br,DMCv,DMCr,B_A,SLA,LA,Rl,Rsa,Rd,Rv,Rt,Rsa_la,srl,ssa
4773,237,1,25,4,6,biomass,584.20000,1.80220,2.14790,0.26965,0.13599,1.19182,237.65727,406.39393,8431.90767,909.11883,0.34320,7.79500,31986.36064,2.23704,3925.65188,423.25939
4797,261,1,25,4,7,biomass,1021.50000,1.87350,2.15590,0.26815,0.13275,1.15073,194.41296,340.22267,8927.10349,1082.18037,0.38590,10.44359,34445.54108,3.18080,4140.77809,501.96223
4569,33,1,30,5,1,biomass,447.30000,0.65660,0.85820,0.26289,0.09307,1.30704,248.92950,144.37911,4149.19481,442.96824,0.33980,3.77428,15321.79058,3.06809,4834.76440,516.15969
4592,56,1,30,5,2,biomass,853.90000,1.29330,1.40680,0.26029,0.15395,1.08776,281.89493,349.54972,8473.25523,822.08567,0.30880,6.35095,23732.48347,2.35184,6023.07025,584.36570
4606,70,1,30,5,3,biomass,1811.70000,1.67030,2.40480,0.30268,0.13318,1.43974,239.96678,379.14751,11855.95656,1301.10611,0.34930,11.34886,43948.68449,3.43166,4930.12166,541.04545
4621,85,1,30,5,4,biomass,1539.40000,2.23070,2.55120,0.29596,0.12892,1.14368,254.39842,554.58856,16713.28026,1451.42856,0.27640,10.03281,61522.61798,2.61713,6551.14466,568.91994
4760,224,1,30,5,5,biomass,695.10000,0.93650,1.22380,0.26540,0.11169,1.30678,317.11504,279.06124,4953.20756,651.04204,0.41840,6.81752,16457.03653,2.33297,4047.39954,531.98402
4813,277,1,30,5,6,biomass,420.20000,1.19280,1.39940,0.28543,0.11016,1.17321,246.94268,279.04522,9932.15271,874.46517,0.28030,6.10906,31717.36548,3.13378,7097.43655,624.88579
4834,298,1,30,5,7,biomass,1303.00000,1.33170,1.71050,0.20105,0.12917,1.28445,250.15342,315.19331,7939.16538,820.81193,0.32910,6.75753,36152.79012,2.60415,4641.42963,479.86667
4642,106,2,10,6,1,biomass,1058.70000,0.36030,0.88570,0.42594,0.15203,2.45823,152.42839,42.67995,7067.56816,538.79631,0.24270,3.27535,16357.34792,12.62411,7979.64114,608.32823
4692,156,2,10,6,2,biomass,646.50000,0.42060,1.18810,0.37155,0.18411,2.82477,167.06759,53.46163,10899.66080,826.64544,0.24140,4.98967,24110.92805,15.46241,9174.02643,695.77093
4707,171,2,10,6,3,biomass,1499.30000,0.73200,1.37460,0.46061,0.19845,1.87787,146.42391,93.71130,9028.97688,736.88731,0.25980,4.77720,19848.48430,7.86338,6568.43946,536.07399
4758,222,2,10,6,4,biomass,2354.80000,0.67880,1.55080,0.43636,0.17513,2.28462,135.56686,82.69578,11187.21977,906.41189,0.25790,5.83469,21208.34158,10.96080,7213.83787,584.48020
4787,251,2,10,6,5,biomass,2091.30000,0.80850,1.20380,0.39168,0.17905,1.48893,186.63248,139.97436,9858.11254,740.04831,0.23900,4.41519,22660.87461,5.28703,8189.16144,614.76019
4816,280,2,10,6,6,biomass,1308.00000,0.27480,0.55150,0.36106,0.17452,2.00691,174.92284,36.73380,5902.41911,433.46280,0.23380,2.52996,11855.32168,11.80011,10702.48252,785.97063
4826,290,2,10,6,7,biomass,546.90000,0.57670,1.36030,0.37577,0.13008,2.35877,166.90888,81.78535,12977.96724,912.57007,0.22380,5.11299,27667.11864,11.15811,9540.51844,670.85942
4557,21,2,15,7,1,biomass,2075.30000,1.61180,3.00660,0.40723,0.10061,1.86537,203.09368,308.70240,NA,NA,NA,NA,NA,NA,NA,NA
4649,113,2,15,7,2,biomass,2710.10000,0.62650,1.21380,0.32717,0.13139,1.93743,204.47887,106.32901,15680.65070,1124.32142,0.22820,6.41981,35291.41040,10.57399,12918.64450,926.28227
4685,149,2,15,7,3,biomass,873.70000,0.77150,1.70290,0.33498,0.12285,2.20726,195.19018,134.68123,35037.70338,2214.57580,0.20120,11.15419,95544.99534,16.44309,20575.31469,1300.47319
4691,155,2,15,7,4,biomass,2123.60000,0.75510,1.53880,0.38239,0.10853,2.03788,206.38440,134.14986,30607.12067,1900.14435,0.19760,9.39937,96214.65979,14.16434,19890.25258,1234.82217
4714,178,2,15,7,5,biomass,1660.40000,0.44280,0.72770,0.35947,0.09373,1.64341,197.14976,70.97391,4357.53444,380.86204,0.27820,2.64847,7554.45927,5.36623,5988.09185,523.37782
4762,226,2,15,7,6,biomass,455.70000,0.88130,1.45560,0.38863,0.13302,1.65165,172.54107,136.30745,12380.08886,1043.85565,0.26840,7.00593,26578.30374,7.65810,8505.14486,717.13084
4782,246,2,15,7,7,biomass,1852.20000,1.23990,2.16680,0.33790,0.13712,1.74756,220.40044,253.46051,12402.41791,913.33946,0.23440,5.35364,28035.35088,3.60348,5723.84065,421.51535
4553,17,2,20,8,1,biomass,2002.90000,1.81570,2.49660,0.29963,0.09298,1.37501,195.77689,321.07410,44015.52185,3074.33780,0.22230,17.12149,148227.09840,9.57517,17630.18579,1231.40984
