,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
"Y[5]","uH","no_descr","posterior value",23.6466278593472,0.68528909466308,23.1784923372542,24.1062529426689,22.3100239652124,25.0015379487464,1.000019445497,"G11","Sat'd",1
"Y[6]","uH","no_descr","posterior value",29.9331711701414,0.664711171916622,29.4853407354575,30.3857487229684,28.6309553467047,31.234576670047,0.999864214717013,"G2","10",1
"Y[7]","uH","no_descr","posterior value",31.1230215870055,0.745132734564093,30.6111487258963,31.6153587369472,29.6791115159719,32.5881592530292,0.999975651914503,"G2","15",1
"Y[8]","uH","no_descr","posterior value",34.9439269323284,0.736380165173834,34.4538117558918,35.4413738380279,33.4967379000357,36.3841880103257,0.999959540372016,"G2","20",1
"Y[9]","uH","no_descr","posterior value",36.0398596356236,0.741496282006621,35.5415550007881,36.5439864430083,34.5734813920997,37.4875203667026,0.999873672401699,"G2","25",1
"Y[10]","uH","no_descr","posterior value",31.4830490038937,0.761206259835155,30.9685612076767,31.9972095162027,29.9851988897015,32.9583401047098,0.999988022008328,"G2","Sat'd",1
"Y[11]","uH","no_descr","posterior value",33.9267261252993,0.71177776065528,33.4559521982112,34.4052946467724,32.5249382377341,35.3076825577917,0.999967812088158,"G5","10",1
"Y[12]","uH","no_descr","posterior value",35.4180135396507,0.764088833934088,34.9051572069898,35.927571966715,33.911353355237,36.9074290668731,0.999994858632801,"G5","15",1
"Y[13]","uH","no_descr","posterior value",37.9412463878361,0.75028658851651,37.4347949275278,38.4409922597113,36.4578789205734,39.4185997833156,0.999886049984253,"G5","20",1
"Y[14]","uH","no_descr","posterior value",37.3174469907922,0.764703867589139,36.8060717315921,37.835147645274,35.800586116757,38.8067392994211,0.999967658823285,"G5","25",1
"Y[15]","uH","no_descr","posterior value",34.8420882743046,0.744178825436739,34.3432220830016,35.3430878763555,33.3695694653804,36.283994129399,0.999879213588742,"G5","Sat'd",1
"b[1]","urgr","(Intercept)","beta",0.108767581921008,0.16487070098266,-0.00398219834876893,0.218476033988152,-0.209651429251697,0.432983053723321,1.00048678018569,"none","none",0.67
"b[2]","urgr","(trt)15","beta",0.48098543872667,0.232146363728893,0.325112981086959,0.63734454043679,0.0266773004526398,0.935786693912188,1.00053394444693,"none","none",1
