"","Initial","Est.","St.Err","lower","upper","pvalue","geno","measure","subset"
"56",17.5,15.2237987674591,7.09051340074432,0.589698,29.8579,0.6615,2,"DMCv","Cumulative"
"57",17.5,16.2176286990897,3.52891861237485,8.9343,23.501,0.0485,5,"DMCv","Cumulative"
"58",17.5,13.9002907080905,4.1661501234154,5.30178,22.4988,0.2018,11,"DMCr","Cumulative"
"59",17.5,17.8363008677333,1.79622644490707,14.1291,21.5435,0.002,2,"DMCr","Cumulative"
"60",17.5,17.6692222082032,4.19697930427221,9.00708,26.3314,0.2074,5,"DMCr","Cumulative"
"61",17.5,18.586654915117,2.61008994469283,13.1997,23.9736,0.0025,11,"Bv","Cumulative"
"62",17.5,16.7769915782551,2.50920806619105,11.5982,21.9557,0.0734,2,"Bv","Cumulative"
"63",17.5,17.1695184080814,1.00608055022024,15.0931,19.246,0,5,"Bv","Cumulative"
"64",17.5,21.8015333462835,2.56852861744073,16.5004,27.1027,0.0189,11,"Br","Cumulative"
"65",17.5,12.8513787534971,2.79837989872933,7.07581,18.627,0.4492,2,"Br","Cumulative"
"66",17.5,17.5990917465134,1.44824407002092,14.6101,20.5881,0.001,5,"Br","Cumulative"
"67",17.5,21.0015098713114,10.9904601624105,-1.68169,43.6847,0.7562,11,"B_A","Cumulative"
"68",17.5,10.031082505045,0.0546565731448653,9.91828,10.1439,0.5994,2,"B_A","Cumulative"
"69",17.5,24.9988629535586,0.00152740041276101,24.9957,25.002,0.5933,5,"B_A","Cumulative"
"70",17.5,10.919964873862,1.30944308836177,8.21741,13.6225,0.5795,11,"uWUEi","Instantaneous"
"71",17.5,16.3840403552164,1.98220440231201,12.293,20.4751,0.009,2,"uWUEi","Instantaneous"
"72",17.5,10.0021333021613,0.00228991598441574,9.99741,10.0069,0.5281,5,"uWUEi","Instantaneous"
"73",17.5,17.780344348465,1.4301297885847,14.8287,20.732,2e-04,11,"ugs","Instantaneous"
"74",17.5,15.9425505774525,1.23426335636395,13.3952,18.4899,5e-04,2,"ugs","Instantaneous"
"75",17.5,15.8360605760595,1.34566187022573,13.0588,18.6134,0.0026,5,"ugs","Instantaneous"
"76",17.5,17.7796970053236,1.80991477274395,14.0442,21.5152,0.0038,11,"ufv","Instantaneous"
"77",17.5,17.3726950042631,2.00056329293978,13.2437,21.5017,0.0092,2,"ufv","Instantaneous"
"78",17.5,15.0290758810032,2.82187105702856,9.20502,20.8531,0.0362,5,"ufv","Instantaneous"
"79",17.5,17.4674936605136,1.02625670315868,15.3494,19.5856,0,11,"uAnet","Instantaneous"
"80",17.5,15.7109450837169,0.652723304713986,14.3638,17.0581,0,2,"uAnet","Instantaneous"
"81",17.5,14.9206006910478,1.33851864091058,12.158,17.6832,0.0015,5,"uAnet","Instantaneous"
"82",17.5,22.6648497182781,3.16181027689961,16.1392,29.1905,0.8099,11,"max_WUEi","Instantaneous"
"83",17.5,14.0037855849338,27.8158211893307,-43.4052,71.4128,0.8667,2,"max_WUEi","Instantaneous"
"84",17.5,21.7284475965112,3.3681983951598,14.7768,28.6801,0.4178,5,"max_WUEi","Instantaneous"
"85",17.5,11.0695442213689,4.22814413627662,2.34308,19.796,0.8841,11,"max_gs","Instantaneous"
"86",17.5,23.9386450480249,11.4097344033553,0.390111,47.4872,0.9611,2,"max_gs","Instantaneous"
"87",17.5,11.5162119616302,10.3889883457166,-9.92561,32.958,0.9154,5,"max_gs","Instantaneous"
"88",17.5,11.4622065235446,3.28723488906391,4.67769,18.2467,0.6759,11,"max_fv","Instantaneous"
"89",17.5,13.0827259887812,6.19912560658214,0.28836,25.8771,0.6109,2,"max_fv","Instantaneous"
"90",17.5,18.0075985738105,8.083781051499,1.32349,34.6917,0.5183,5,"max_fv","Instantaneous"
"91",17.5,21.9268430104911,2.97398600501294,15.7888,28.0648,0.1788,11,"max_Anet","Instantaneous"
"92",17.5,16.3441597781229,3.12304924780493,9.8985,22.7898,0.1161,2,"max_Anet","Instantaneous"
"93",17.5,14.9470366161006,20.8960748072791,-28.1803,58.0744,0.8183,5,"max_Anet","Instantaneous"
"94",20,24.2685708058676,0.269237166835712,23.7322,24.8049,0.0021,11,"urgr","Growth"
"95",15,23.8591728598213,0.711477571888175,22.4424,25.2759,0.1466,2,"urgr","Growth"
"96",17.5,21.8138826155951,3.14856207380377,15.543,28.0848,0.442,5,"urgr","Growth"
"97",20,23.062909962296,1.55531987141607,19.9646,26.1613,0.1971,11,"uH","Growth"
"98",15,22.8152359494303,3.59383404610196,15.659,29.9715,0.6633,2,"uH","Growth"
"99",17.5,22.1173641442496,2.50771383241609,17.1228,27.1119,0.2064,5,"uH","Growth"
"100",20,20.6339968008976,1.31662620604,18.0111,23.2569,0,11,"max_rgr","Growth"
"101",15,23.3204230019049,0.734415849257957,21.858,24.7828,0.0089,2,"max_rgr","Growth"
"102",17.5,10.0231278823929,0.0481604771753319,9.92721,10.119,0.8615,5,"max_rgr","Growth"
"103",20,20.2623538612873,1.48166968275995,17.3107,23.214,0,11,"max_H","Growth"
"104",15,22.4697196977585,1.2046069517105,20.071,24.8684,0.0038,2,"max_H","Growth"
"105",17.5,24.7331408874264,0.139701768874818,24.4549,25.0114,0.0222,5,"max_H","Growth"
