,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
b[5],Br,(trt)30,beta,0.405593096,0.204334356,0.271773098,0.53712508,0.004149138,0.820989097,1.000323561,none,none,1
b[6],Br,(geno)2,beta,0.155191406,0.215977659,0.016256702,0.295873673,-0.279128465,0.584902992,1.000408924,none,none,0.68
b[7],Br,(geno)5,beta,0.159232313,0.214931689,0.017760251,0.30139773,-0.257590559,0.587796314,1.000272177,none,none,0.7
b[8],Br,(trt)15:(geno)2,beta,-0.080495558,0.287921348,-0.271058029,0.109215909,-0.646473565,0.48885956,1.000557545,none,none,0.57
b[9],Br,(trt)20:(geno)2,beta,-0.375119646,0.25915003,-0.545722323,-0.204300519,-0.882724615,0.146606932,1.000151411,none,none,0.86
b[10],Br,(trt)25:(geno)2,beta,-0.041952313,0.250013237,-0.205706067,0.125465843,-0.536147462,0.449085887,1.000193527,none,none,0.54
b[11],Br,(trt)30:(geno)2,beta,-0.10956784,0.291937646,-0.303021201,0.082662599,-0.682893501,0.469140083,1.000279506,none,none,0.59
b[12],Br,(trt)15:(geno)5,beta,0.148637395,0.277376255,-0.038540246,0.333029873,-0.393508673,0.709146052,1.000239998,none,none,0.64
b[13],Br,(trt)20:(geno)5,beta,0.082129224,0.245210377,-0.082865795,0.24762422,-0.396471194,0.560384955,1.000066947,none,none,0.59
b[14],Br,(trt)25:(geno)5,beta,-0.041162383,0.249951722,-0.20535088,0.12256005,-0.533355435,0.456219072,1.000229377,none,none,0.54
b[15],Br,(trt)30:(geno)5,beta,-0.018259348,0.27492239,-0.200122552,0.161442262,-0.556434576,0.531937573,1.000209989,none,none,0.51
G_E[1],Br,no_descr,G11[R]-G2[R],0.473702767,0.308308403,0.270448316,0.676763843,-0.155329256,1.073643431,0.999935088,none,none,0.87
G_E[2],Br,no_descr,G11[R]-G5,-0.654361477,0.318089115,-0.867505508,-0.440110153,-1.282258417,-0.023723453,0.999919366,none,none,1
G_E[3],Br,no_descr,G2[R]-G5,-1.128064244,0.310349971,-1.337311568,-0.918452991,-1.736095302,-0.514269291,1.000068084,none,none,1
T_E[1],Br,no_descr,trt_effect,0.576230805,0.166240274,0.459616158,0.682045349,0.282586788,0.932456604,1.000321243,none,none,1
I_E[1],Br,no_descr,int_effect,-0.054473809,0.19639781,-0.185059445,0.078860026,-0.454145561,0.317695926,1.000489263,none,none,0.59
Y[1],Br,no_descr,posterior value,1.083515188,0.168020906,0.968753025,1.196369812,0.75584983,1.411006118,1.000220108,G11,10,1
Y[2],Br,no_descr,posterior value,1.484991679,0.20123184,1.354023303,1.620344984,1.075847474,1.874205294,0.999943138,G11,15,1
Y[3],Br,no_descr,posterior value,2.416377394,0.225425637,2.269079334,2.56769555,1.956376663,2.844138275,0.999894298,G11,20,1
Y[4],Br,no_descr,posterior value,2.324313708,0.216139436,2.182084512,2.470787337,1.890820835,2.739994493,1.000027019,G11,25,1
Y[5],Br,no_descr,posterior value,1.619834554,0.212402341,1.481788098,1.764160471,1.191746862,2.02009515,0.999977002,G11,Sat'd,1
Y[6],Br,no_descr,posterior value,1.264352018,0.188227287,1.141005953,1.391788985,0.882079822,1.623476885,1.000154471,G2,10,1
Y[7],Br,no_descr,posterior value,1.59968141,0.213112201,1.459161403,1.746492118,1.16734875,2.005975483,1.000047096,G2,15,1
Y[8],Br,no_descr,posterior value,1.942674627,0.213175393,1.80080479,2.086223674,1.519342151,2.354453567,1.000043721,G2,20,1
Y[9],Br,no_descr,posterior value,2.601188678,0.222918614,2.454704189,2.752623546,2.148640727,3.028372725,0.999891016,G2,25,1
Y[10],Br,no_descr,posterior value,1.698375212,0.241717491,1.542839912,1.862365891,1.201205184,2.158569076,0.999823971,G2,Sat'd,1
Y[11],Br,no_descr,posterior value,1.269327168,0.188525156,1.145348833,1.397379197,0.897090461,1.634682357,0.99994057,G5,10,1
Y[12],Br,no_descr,posterior value,2.012985224,0.215861724,1.87218313,2.15941169,1.574766942,2.424308309,0.999949729,G5,15,1
Y[13],Br,no_descr,posterior value,3.070738871,0.226159862,2.922109149,3.224461999,2.613161042,3.504809304,0.999872624,G5,20,1
Y[14],Br,no_descr,posterior value,2.614528905,0.232023871,2.464210491,2.772958834,2.13795329,3.05505837,1.000086,G5,25,1
Y[15],Br,no_descr,posterior value,1.860384247,0.208173388,1.721892474,2.001022283,1.442327122,2.257233373,0.999863877,G5,Sat'd,1
b[1],DMCv,(Intercept),beta,-1.021605852,0.029026328,-1.040520493,-1.001972786,-1.081126962,-0.965762773,1.001565483,none,none,1
b[2],DMCv,(trt)15,beta,-0.094460637,0.043194205,-0.123400393,-0.065570286,-0.179540199,-0.009950554,1.001060113,none,none,1
b[3],DMCv,(trt)20,beta,-0.20622461,0.046137622,-0.236952442,-0.175430954,-0.297349741,-0.11660221,1.001570131,none,none,1
b[4],DMCv,(trt)25,beta,-0.251598385,0.04717255,-0.283014082,-0.219843801,-0.34527042,-0.161173131,1.000958246,none,none,1
b[5],DMCv,(trt)30,beta,-0.304855746,0.048632083,-0.336926429,-0.271651282,-0.401532575,-0.211565043,1.000894502,none,none,1
b[6],DMCv,(geno)2,beta,0.109134657,0.038921626,0.083150261,0.134937529,0.033755333,0.186628803,1.001410721,none,none,1
b[7],DMCv,(geno)5,beta,0.074890493,0.039736077,0.047907476,0.101382842,-0.00302413,0.153586076,1.001252017,none,none,0.98
b[8],DMCv,(trt)15:(geno)2,beta,-0.010305388,0.057913399,-0.048644768,0.027751565,-0.123286677,0.105322532,1.001222125,none,none,0.54
b[9],DMCv,(trt)20:(geno)2,beta,-0.151260998,0.064844412,-0.194318977,-0.107907057,-0.280920529,-0.024262778,1.001280639,none,none,1
b[10],DMCv,(trt)25:(geno)2,beta,-0.156842178,0.066650642,-0.200497139,-0.112370728,-0.288391546,-0.025348911,1.000915487,none,none,1
b[11],DMCv,(trt)30:(geno)2,beta,-0.036601865,0.06552256,-0.081227714,0.006833223,-0.165983607,0.09234076,1.000930741,none,none,0.64
b[12],DMCv,(trt)15:(geno)5,beta,-0.116695091,0.061303115,-0.157347323,-0.074964514,-0.239242237,0.003178959,1.000792164,none,none,0.99
b[13],DMCv,(trt)20:(geno)5,beta,-0.130400718,0.065680782,-0.174175556,-0.086595975,-0.261738631,-0.002120748,1.000758571,none,none,1
b[14],DMCv,(trt)25:(geno)5,beta,-0.159130034,0.067871586,-0.20465889,-0.112693008,-0.294805069,-0.029417039,1.000799135,none,none,1
b[15],DMCv,(trt)30:(geno)5,beta,-0.08737037,0.068334458,-0.132718787,-0.041110591,-0.221310677,0.046088734,1.000401516,none,none,0.83
G_E[1],DMCv,no_descr,G11[R]-G2[R],0.012075301,0.014798533,0.002251204,0.021952904,-0.017109262,0.040938906,1.000215298,none,none,0.71
G_E[2],DMCv,no_descr,G11[R]-G5,0.015806681,0.014757385,0.005861602,0.025594836,-0.013237635,0.04467072,0.999993505,none,none,0.77
G_E[3],DMCv,no_descr,G2[R]-G5,0.00373138,0.014728787,-0.005992432,0.013502731,-0.025174778,0.03221295,0.99995174,none,none,0.56
T_E[1],DMCv,no_descr,trt_effect,-0.214284845,0.034203698,-0.237188257,-0.191438962,-0.280908273,-0.145688509,1.002067197,none,none,1
I_E[1],DMCv,no_descr,int_effect,-0.10607583,0.041123656,-0.133383462,-0.078733162,-0.187290356,-0.026103906,1.002241913,none,none,1
Y[1],DMCv,no_descr,posterior value,0.360167841,0.010437594,0.353270759,0.367154409,0.33921303,0.380692707,1.001566912,G11,10,1
Y[2],DMCv,no_descr,posterior value,0.327732752,0.010454581,0.32067004,0.334703133,0.307081181,0.348114175,0.999965841,G11,15,1
Y[3],DMCv,no_descr,posterior value,0.293112856,0.010411923,0.286150933,0.299984083,0.272412229,0.313149012,1.000331899,G11,20,1
Y[4],DMCv,no_descr,posterior value,0.28012804,0.010429652,0.273191982,0.287226691,0.259355283,0.300113586,1.000003093,G11,25,1
Y[5],DMCv,no_descr,posterior value,0.265619426,0.010407923,0.258679754,0.272671724,0.24504474,0.285637419,1.000011994,G11,Sat'd,1
Y[6],DMCv,no_descr,posterior value,0.401666305,0.010428341,0.394626224,0.408717531,0.381175686,0.422118337,1.000051963,G2,10,1
Y[7],DMCv,no_descr,posterior value,0.361744952,0.010492982,0.354805883,0.368795128,0.341175869,0.382090759,1.00034148,G2,15,1
Y[8],DMCv,no_descr,posterior value,0.281037555,0.010424126,0.274121291,0.287943215,0.26028563,0.301264076,0.999979885,G2,20,1
Y[9],DMCv,no_descr,posterior value,0.267096137,0.010428578,0.260093225,0.274157582,0.246450859,0.287266997,0.999962277,G2,25,1
Y[10],DMCv,no_descr,posterior value,0.285566523,0.010272173,0.278619373,0.292454709,0.265482307,0.30561913,1.000014346,G2,Sat'd,1
Y[11],DMCv,no_descr,posterior value,0.388154982,0.010474472,0.381210214,0.395164462,0.367259393,0.408526518,0.999924603,G5,10,1
Y[12],DMCv,no_descr,posterior value,0.314327453,0.010417828,0.30749974,0.321301193,0.293467853,0.33454682,0.999966551,G5,15,1
Y[13],DMCv,no_descr,posterior value,0.277306175,0.010417913,0.270231505,0.284464981,0.256830338,0.297709199,0.999883231,G5,20,1
Y[14],DMCv,no_descr,posterior value,0.257525695,0.010330732,0.250832643,0.264447724,0.237057901,0.277614866,0.999847275,G5,25,1
Y[15],DMCv,no_descr,posterior value,0.262331588,0.010437283,0.255477866,0.269424268,0.241387021,0.28254937,0.999895272,G5,Sat'd,1
b[1],DMCr,(Intercept),beta,-1.64509633,0.050758945,-1.67754716,-1.610576737,-1.750311491,-1.551230088,1.000167419,none,none,1
b[2],DMCr,(trt)15,beta,-0.212490532,0.065231359,-0.255400496,-0.168965812,-0.340130373,-0.083516899,1.00018352,none,none,1
b[3],DMCr,(trt)20,beta,-0.36076681,0.069692222,-0.407613509,-0.31397819,-0.496817786,-0.223211852,1.000289309,none,none,1
b[4],DMCr,(trt)25,beta,-0.491166789,0.075166392,-0.541426395,-0.442053452,-0.638288088,-0.341642901,0.999890992,none,none,1
b[5],DMCr,(trt)30,beta,-0.460204702,0.072106134,-0.507818619,-0.412678457,-0.601111928,-0.321123647,1.000041952,none,none,1
b[6],DMCr,(geno)2,beta,-0.133888973,0.063467546,-0.176549856,-0.092628641,-0.256937795,-0.008667375,1.000086832,none,none,1
b[7],DMCr,(geno)5,beta,-0.28854309,0.067316635,-0.333582816,-0.243805296,-0.418378345,-0.153740311,1.000165643,none,none,1
b[8],DMCr,(trt)15:(geno)2,beta,-0.14882353,0.092889945,-0.210121923,-0.086796595,-0.331858709,0.032390536,0.999990231,none,none,0.91
b[9],DMCr,(trt)20:(geno)2,beta,-0.140745132,0.100006625,-0.206734287,-0.073691308,-0.335557055,0.052293474,1.000257692,none,none,0.87
b[10],DMCr,(trt)25:(geno)2,beta,0.020423002,0.104104996,-0.048462903,0.090476499,-0.186620899,0.219327037,0.999893265,none,none,0.54
b[11],DMCr,(trt)30:(geno)2,beta,0.010391697,0.103598018,-0.058177084,0.079929187,-0.196499509,0.208887802,0.999921422,none,none,0.52
b[12],DMCr,(trt)15:(geno)5,beta,0.029722446,0.094832843,-0.032412675,0.093303384,-0.159136026,0.213656655,1.00034552,none,none,0.57
b[13],DMCr,(trt)20:(geno)5,beta,0.081678013,0.100665986,0.015583056,0.149744358,-0.118030525,0.275530368,1.000200585,none,none,0.7
b[14],DMCr,(trt)25:(geno)5,beta,0.179224503,0.105837735,0.109000943,0.250551,-0.031183756,0.382546625,1.00006983,none,none,0.92
